row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",9.970.568.766,-,-,-,9970568766.0,,,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.291.585.314.102,-,2.269.416.811.438,-,2291585314102.0,,2269416811438.0,
"Dự án Tụy Hòa, Đắc Lắk (1.4 ha)","Dự án Tụy Hòa, Đắc Lắk (1.4 ha)","Dự án Tụy Hòa, Đắc Lắk (1.4 ha)",200.981.882.693,-,201.361.085.348,-,200981882693.0,,201361085348.0,
Dự án Khu ĐT mới Đề Thám Cao Bằng,Dự án Khu ĐT mới Đề Thám Cao Bằng,Dự án Khu ĐT mới Đề Thám Cao Bằng,302.627.330.358,-,301.650.817.430,-,302627330358.0,,301650817430.0,
"Dự án Khu ĐT Phía Nam, tỉnh Bắc Ninh","Dự án Khu ĐT Phía Nam, tỉnh Bắc Ninh","Dự án Khu ĐT Phía Nam, tỉnh Bắc Ninh",239.456.116.814,-,207.855.690.898,-,239456116814.0,,207855690898.0,
"Dự án Phú Hải, Lâm Đồng","Dự án Phú Hải, Lâm Đồng","Dự án Phú Hải, Lâm Đồng",556.766.209.030,-,399.171.780.317,-,556766209030.0,,399171780317.0,
"Dự án Nhà ở TM, Lào Cai","Dự án Nhà ở TM, Lào Cai","Dự án Nhà ở TM, Lào Cai",864.912.968.573,-,847.617.654.693,-,864912968573.0,,847617654693.0,
Các dự án khác,Các dự án khác,Các dự án khác,126.840.806.634,-,311.759.782.752,-,126840806634.0,,311759782752.0,
Thành phẩm,Thành phẩm,Thành phẩm,102.925.642.910,-,427.715.371.105,-,102925642910.0,,427715371105.0,
Dự án Phú Lăm,Dự án Phú Lăm,Dự án Phú Lăm,88.425.085.085,-,264.739.781.444,-,88425085085.0,,264739781444.0,
"DA ĐT km3,4 Hải Yên, Mống Cái 3, Quảng Ninh","DA ĐT km3,4 Hải Yên, Mống Cái 3, Quảng Ninh","DA ĐT km3,4 Hải Yên, Mống Cái 3, Quảng Ninh",14.500.557.825,-,162.975.589.661,-,14500557825.0,,162975589661.0,
Tổng,Tổng,Tổng,2.404.481.525.778,-,2.697.132.182.543,-,2404481525778.0,,2697132182543.0,
