row_label_raw,row_label_full,col_0,31/12/2025VND,01/01/2025VND,numeric__31/12/2025VND,numeric__01/01/2025VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,6.598.063.448,2.352.695.567,6598063448.0,2352695567.0
Chi phí môi giới liên quan đến các căn hộchưa bàn giao,Chi phí môi giới liên quan đến các căn hộchưa bàn giao,Chi phí môi giới liên quan đến các căn hộchưa bàn giao,6.146.521.490,1.899.522.732,6146521490.0,1899522732.0
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,2.236.791,-,2236791.0,
Chi phí khác chờ phân bổ,Chi phí khác chờ phân bổ,Chi phí khác chờ phân bổ,449.305.167,453.172.835,449305167.0,453172835.0
Dài hạn,Dài hạn,Dài hạn,6.765.161.557,8.021.105.166,6765161557.0,8021105166.0
Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,5.792.853.872,3.021.679.191,5792853872.0,3021679191.0
"Chi phí thuê mặt bằng, văn phòng","Chi phí thuê mặt bằng, văn phòng","Chi phí thuê mặt bằng, văn phòng",-,2.823.946.768,,2823946768.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",880.814.415,2.149.731.599,880814415.0,2149731599.0
Chi phí khác,Chi phí khác,Chi phí khác,91.493.270,25.747.608,91493270.0,25747608.0
Tổng,Tổng,Tổng,13.363.225.005,10.373.800.733,13363225005.0,10373800733.0
