row_label_raw,row_label_full,STT,Tên Công ty,31/12/2025 > Tỷ lệ Vốnnấm giữ,31/12/2025 > Tỷ lệ quyềnbiểu quyết,31/12/2025 > Giá gốc,31/12/2025 > Giá trịhợp lý,31/12/2025 > Dự phòng,01/01/2025 > Tỷ lệ Vớnnấm giữ,01/01/2025 > Tỷ lệ quyềnbiểu quyết,01/01/2025 > Giá gốc,01/01/2025 > Giá trịhợp lý Dự phòng,numeric__Tên Công ty,numeric__31/12/2025 > Tỷ lệ Vốnnấm giữ,numeric__31/12/2025 > Tỷ lệ quyềnbiểu quyết,numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Giá trịhợp lý,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Tỷ lệ Vớnnấm giữ,numeric__01/01/2025 > Tỷ lệ quyềnbiểu quyết,numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Giá trịhợp lý Dự phòng
I,I,I,Đầu tư vào Công ty con,,,3.004.167.830.000,,-,,,3.003.792.000.000,,,,,3004167830000.0,,,,,3003792000000.0,
1,1,1,Công ty TNHH MTV Hải Phát - Bình Thuận (1),100%,100%,750.000.000.000,,-,100%,100%,750.000.000.000,,,1.0,1.0,750000000000.0,,,1.0,1.0,750000000000.0,
2,2,2,Công ty TNHH MTV Địa ốc Heritage Việt Nam,100%,100%,250.000.000.000,,-,100%,100%,250.000.000.000,,,1.0,1.0,250000000000.0,,,1.0,1.0,250000000000.0,
3,3,3,Công ty TNHH MTV Địa ốc Ruby,100%,100%,1.000.500.000.000,,-,100%,100%,1.000.500.000.000,,,1.0,1.0,1000500000000.0,,,1.0,1.0,1000500000000.0,
4,4,4,Công ty TNHH MTV Đầu tư Sapphire,100%,100%,795.000.000.000,,-,100%,100%,795.000.000.000,,,1.0,1.0,795000000000.0,,,1.0,1.0,795000000000.0,
5,5,5,Công ty TNHH MTV Đầu tư và Phát triểnTopaz PM Việt Nam,100%,100%,5.000.000.000,,-,100%,100%,5.000.000.000,,,1.0,1.0,5000000000.0,,,1.0,1.0,5000000000.0,
6,6,6,Công ty TNNN MTV Diamond IC,100%,100%,5.000.000.000,,-,100%,100%,5.000.000.000,,,1.0,1.0,5000000000.0,,,1.0,1.0,5000000000.0,
7,7,7,Công ty TNHH Maipha PENINSULA (2),70%,70%,198.108.200.000,,-,70%,70%,198.030.000.000,,,0.7,0.7,198108200000.0,,,0.7,0.7,198030000000.0,
8,8,8,Công ty cổ phần Tư vấn đầu tư và Quy hoạchQuốc tế Opal (3),65%,65%,559.630.000,,-,65%,65%,262.000.000,,,0.65,0.65,559630000.0,,,0.65,0.65,262000000.0,
II,II,II,Đầu tư vào Công ty liên doanh liên kết,,,83.146.786.097,,-,,,55.946.786.097,,,,,83146786097.0,,,,,55946786097.0,
1,1,1,Công ty TNHH BT Hà Đông,50%,50%,55.946.786.097,,-,50%,50%,55.946.786.097,,,0.5,0.5,55946786097.0,,,0.5,0.5,55946786097.0,
1,1,1,Công ty Cổ phần Đầu tư Greenland Holdings (4),20%,20%,27.200.000.000,,-,,,-,,,0.2,0.2,27200000000.0,,,,,,
III,III,III,Đầu tư góp vốn vào đơn vị khác,,,30.317.280.829,,-,,,30.317.280.829,,,,,30317280829.0,,,,,30317280829.0,
1,1,1,Công ty TNHH HP Hospitality Nha Trang,"4,50%","4,50%",30.317.280.829,,-,"4,50%","4,50%",30.317.280.829,,,0.045,0.045,30317280829.0,,,0.045,0.045,30317280829.0,
,,,Tổng,,,3.117.631.896.926 (*),,-,,,3.090.056.066.926 (*),,,,,,,,,,,
