row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,30/9/2019 VND,1/10/2018 VND,numeric__Mã số,numeric__Thuyết minh,numeric__30/9/2019 VND,numeric__1/10/2018 VND
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),200,,9.869.786.099.023,10.455.122.959.627,200.0,,9869786099023.0,10455122959627.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,226.761.293.160,202.370.220.436,210.0,,226761293160.0,202370220436.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,11(b),226.761.293.160,202.370.220.436,216.0,,226761293160.0,202370220436.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,8.642.006.807.601,8.124.639.435.592,220.0,,8642006807601.0,8124639435592.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,8.186.719.713.839,7.671.670.211.535,221.0,13.0,8186719713839.0,7671670211535.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,13.134.211.874.310,11.563.782.152.097,222.0,,13134211874310.0,11563782152097.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(4.947.492.160.471),(3.892.111.940.562),223.0,,-4947492160471.0,-3892111940562.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,14,214.042.830.281,140.153.363.491,224.0,14.0,214042830281.0,140153363491.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,237.020.532.992,236.206.835.834,225.0,,237020532992.0,236206835834.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(22.977.702.711),(96.053.472.343),226.0,,-22977702711.0,-96053472343.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,241.244.263.481,312.815.860.566,227.0,15.0,241244263481.0,312815860566.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,294.601.902.380,355.069.152.380,228.0,,294601902380.0,355069152380.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(53.357.638.899),(42.253.291.814),229.0,,-53357638899.0,-42253291814.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,576.452.872.180,1.512.774.341.255,240.0,,576452872180.0,1512774341255.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,16,576.452.872.180,1.512.774.341.255,242.0,16.0,576452872180.0,1512774341255.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,17.000.000.000,98.957.678.001,250.0,,17000000000.0,98957678001.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,8(b),-,36.357.678.001,252.0,,,36357678001.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,255,8(a),17.000.000.000,62.600.000.000,255.0,,17000000000.0,62600000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,407.565.126.082,516.381.284.343,260.0,,407565126082.0,516381284343.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,17(b),365.534.127.666,475.698.024.116,261.0,,365534127666.0,475698024116.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,18,42.030.998.416,40.683.260.227,262.0,18.0,42030998416.0,40683260227.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,17.225.438.463.039,21.254.822.061.618,270.0,,17225438463039.0,21254822061618.0
