row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 10 năm 2023,Nguyên giá > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,857.057.288.549,2.587.589.173.611,323.870.381.174,89.735.166.898,30.350.479.293,3.888.602.489.525,857057288549.0,2587589173611.0,323870381174.0,89735166898.0,30350479293.0,3888602489525.0
Mua trọng năm,Nguyên giá > Mua trọng năm,Mua trọng năm,-,8.731.417.638,11.914.287.342,-,306.628.000,20.952.332.980,,8731417638.0,11914287342.0,,306628000.0,20952332980.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),12.813.507.522,765.307.926,9.013.439.350,-,-,22.592.254.798,12813507522.0,765307926.0,9013439350.0,,,22592254798.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(74.398.246.952),(4.097.606.631),-,-,(78.495.853.583),,-74398246952.0,-4097606631.0,,,-78495853583.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(531.788.051),(1.659.060.185),-,-,-,(2.190.848.236),-531788051.0,-1659060185.0,,,,-2190848236.0
Tại ngày 30 tháng 9 năm 2024,Nguyên giá > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,869.339.008.020,2.521.028.592.038,340.700.501.235,89.735.166.898,30.657.107.293,3.851.460.375.484,869339008020.0,2521028592038.0,340700501235.0,89735166898.0,30657107293.0,3851460375484.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,391.113.290.220,2.291.669.826.248,266.252.799.840,67.385.906.106,23.437.431.667,3.039.859.254.081,391113290220.0,2291669826248.0,266252799840.0,67385906106.0,23437431667.0,3039859254081.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,78.589.179.238,98.107.038.196,21.909.969.118,7.220.973.531,1.745.502.449,207.572.662.532,78589179238.0,98107038196.0,21909969118.0,7220973531.0,1745502449.0,207572662532.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(56.446.945.374),(4.079.016.054),-,-,(60.525.961.428),,-56446945374.0,-4079016054.0,,,-60525961428.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,(531.788.051),(1.622.923.953),-,-,-,(2.154.712.004),-531788051.0,-1622923953.0,,,,-2154712004.0
Tại ngày 30 tháng 9 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,469.170.681.407,2.331.706.995.117,284.083.752.904,74.606.879.637,25.182.934.116,3.184.751.243.181,469170681407.0,2331706995117.0,284083752904.0,74606879637.0,25182934116.0,3184751243181.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,465.943.998.329,295.919.347.363,57.617.581.334,22.349.260.792,6.913.047.626,848.743.235.444,465943998329.0,295919347363.0,57617581334.0,22349260792.0,6913047626.0,848743235444.0
Tại ngày 30 tháng 9 năm 2024,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,400.168.326.613,189.321.596.921,56.616.748.331,15.128.287.261,5.474.173.177,666.709.132.303,400168326613.0,189321596921.0,56616748331.0,15128287261.0,5474173177.0,666709132303.0
