row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.815.899.110.000,70.790.410.045,(902.752.100),615.884.709.128,854.377.493.428,8.508.090.118,5.364.557.060.619,3815899110000.0,70790410045.0,-902752100.0,615884709128.0,854377493428.0,8508090118.0,5364557060619.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,607.731.616.946,282.822.493,608.014.439.439,,,,,607731616946.0,282822493.0,608014439439.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(122.255.000.000),-,(122.255.000.000),,,,,-122255000000.0,,-122255000000.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,-,154.328.000.000,(154.328.000.000),-,-,,,,154328000000.0,-154328000000.0,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(457.850.293.200),-,(457.850.293.200),,,,,-457850293200.0,,-457850293200.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,727.675.817.174,8.790.912.611,5.392.466.206.858,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,727675817174.0,8790912611.0,5392466206858.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,368.954.105.376,253.041.104,369.207.146.480,,,,,368954105376.0,253041104.0,369207146480.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(129.407.000.000),-,(129.407.000.000),,,,,-129407000000.0,,-129407000000.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,-,22.577.830.000,(22.577.830.000),-,-,,,,22577830000.0,-22577830000.0,,
Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),-,-,-,-,(457.850.293.200),-,(457.850.293.200),,,,,-457850293200.0,,-457850293200.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.790.410.045,(902.752.100),792.790.539.128,486.794.799.350,9.043.953.715,5.174.416.060.138,3815899110000.0,70790410045.0,-902752100.0,792790539128.0,486794799350.0,9043953715.0,5174416060138.0
