row_label_raw,row_label_full,Tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
Tên,Tên,Tên,Chức vụ,VND,VND,,,
Ông Đình Quang Dũng,Tên > Ông Đình Quang Dũng,Ông Đình Quang Dũng,Chủ tịch Hội đồng quản trị,96.000.000,96.000.000,,96000000.0,96000000.0
Ông Nguyễn Quốc Thắng,Tên > Ông Nguyễn Quốc Thắng,Ông Nguyễn Quốc Thắng,Thành viên Hội đồng quản trị/Tổng giám đốc,1.952.575.234,105.863.525,,1952575234.0,105863525.0
Ông Lưu Đình Cường,Tên > Ông Lưu Đình Cường,Ông Lưu Đình Cường,Thành viên Hội đồng quản trị/Tổng giám đốc,876.826.255,2.005.877.309,,876826255.0,2005877309.0
Ông Nguyễn Văn Chuyển,Tên > Ông Nguyễn Văn Chuyển,Ông Nguyễn Văn Chuyển,Thành viên Hội đồng quản trị,-,24.000.000,,,24000000.0
Ông Bùi Nguyên Quỳnh,Tên > Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Phó Tổng giám đốc,1.596.463.615,1.356.463.053,,1596463615.0,1356463053.0
Ông Nguyễn Văn Lập,Tên > Ông Nguyễn Văn Lập,Ông Nguyễn Văn Lập,Thành viên Hội đồng quản trị/Trường phòng kỹ thuật,1.329.906.318,1.068.001.542,,1329906318.0,1068001542.0
Ông Phan Xuân Hiệu,Tên > Ông Phan Xuân Hiệu,Ông Phan Xuân Hiệu,Thành viên Hội đồng quản trị,72.000.000,72.000.000,,72000000.0,72000000.0
Ông Hoàng Cảnh Nguyễn,Tên > Ông Hoàng Cảnh Nguyễn,Ông Hoàng Cảnh Nguyễn,Thành viên Hội đồng quản trị,72.000.000,72.000.000,,72000000.0,72000000.0
Ông Nguyễn Quốc Huy,Tên > Ông Nguyễn Quốc Huy,Ông Nguyễn Quốc Huy,Thành viên Hội đồng quản trị,72.000.000,48.000.000,,72000000.0,48000000.0
Ông Võ Ngọc Trung,Tên > Ông Võ Ngọc Trung,Ông Võ Ngọc Trung,Thành viên Hội đồng quản trị/Trường phòng Kế hoạch Chiến lược,1.332.971.791,679.184.265,,1332971791.0,679184265.0
Ông Phạm Kiến Phương,Tên > Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Phó Tổng giám đốc,1.453.646.578,1.403.891.175,,1453646578.0,1403891175.0
Ông Nguyễn Thanh Phúc,Tên > Ông Nguyễn Thanh Phúc,Ông Nguyễn Thanh Phúc,Phó Tổng giám đốc,-,1.076.530.161,,,1076530161.0
Ông Nguyễn Nho Lương,Tên > Ông Nguyễn Nho Lương,Ông Nguyễn Nho Lương,Kế toán trưởng,1.330.021.335,276.986.228,,1330021335.0,276986228.0
,,,,10.184.411.126,8.284.797.258,,10184411126.0,8284797258.0
