row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,1.628.714.478.708,1.875.944.442.871,,100.0,,1628714478708.0,1875944442871.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,517.769.129.570,847.926.820.104,,110.0,5.0,517769129570.0,847926820104.0
1.,1.,1.,Tiền,111,,517.769.129.570,347.926.820.104,,111.0,,517769129570.0,347926820104.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,500.000.000.000,,112.0,,,500000000000.0
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,307.327.368.602,340.969.302.004,,130.0,,307327368602.0,340969302004.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,173.843.871.958,240.158.234.166,,131.0,6.0,173843871958.0,240158234166.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,73.294.232.252,38.438.537.220,,132.0,7.0,73294232252.0,38438537220.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,60.189.264.392,62.372.530.618,,136.0,8.0,60189264392.0,62372530618.0
III.,III.,III.,Hàng tồn kho,140,9,674.105.058.532,637.621.918.253,,140.0,9.0,674105058532.0,637621918253.0
1.,1.,1.,Hàng tồn kho,141,,684.481.875.073,648.307.355.413,,141.0,,684481875073.0,648307355413.0
2.,2.,2.,Dự phòng giám giá hàng tồn kho,149,,(10.376.816.541),(10.685.437.160),,149.0,,-10376816541.0,-10685437160.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,129.512.922.004,49.426.402.510,,150.0,,129512922004.0,49426402510.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,55.965.997.458,30.872.305.027,,151.0,10.0,55965997458.0,30872305027.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,63.383.898.844,18.554.097.483,,152.0,,63383898844.0,18554097483.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,17,10.163.025.702,-,,153.0,17.0,10163025702.0,
