row_label_raw,row_label_full,col_0,MS,TM,31/12/2016VND,01/01/2016VND,numeric__MS,numeric__TM,numeric__31/12/2016VND,numeric__01/01/2016VND
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,2.110.035.004.915,1.975.190.602.956,100.0,,2110035004915.0,1975190602956.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,428.688.075.454,576.880.129.477,110.0,51.0,428688075454.0,576880129477.0
1. Tiền,1. Tiền,1. Tiền,111,,84.155.056.489,295.680.129.477,111.0,,84155056489.0,295680129477.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,344.533.018.965,281.200.000.000,112.0,,344533018965.0,281200000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,134.298.370.409,45.249.232.122,120.0,52.0,134298370409.0,45249232122.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,134.298.370.409,45.249.232.122,123.0,,134298370409.0,45249232122.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.311.592.792.249,1.220.713.013.767,130.0,,1311592792249.0,1220713013767.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,513.538.720.952,763.979.970.700,131.0,53.0,513538720952.0,763979970700.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,253.385.738.480,320.272.170.741,132.0,54.0,253385738480.0,320272170741.0
5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,,238.920.765.480,10.130.000.000,135.0,,238920765480.0,10130000000.0
6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.5,306.368.428.036,126.653.633.499,136.0,55.0,306368428036.0,126653633499.0
7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(620.860.699),(322.761.173),137.0,56.0,-620860699.0,-322761173.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,41.507.715.279,56.384.765.377,140.0,,41507715279.0,56384765377.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,5.7,41.507.715.279,56.384.765.377,141.0,57.0,41507715279.0,56384765377.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,193.948.051.524,75.963.462.213,150.0,,193948051524.0,75963462213.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.11,733.130.886,2.497.322.813,151.0,511.0,733130886.0,2497322813.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,190.288.614.098,68.900.589.570,152.0,,190288614098.0,68900589570.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.13,2.926.306.540,4.565.549.830,153.0,513.0,2926306540.0,4565549830.0
