row_label_raw,row_label_full,31/12/2021,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,381.325.460.207,-,381.325.460.207,381325460207.0,,381325460207.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,919.685.175.880,380.253.106.319,1.299.938.282.199,919685175880.0,380253106319.0,1299938282199.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,488.707.858.861,-,488.707.858.861,488707858861.0,,488707858861.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,73.389.607.184,-,73.389.607.184,73389607184.0,,73389607184.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,22.800.000.000,22.800.000.000,,22800000000.0,22800000000.0
01/01/2021,01/01/2021,01/01/2021,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tiền và các khoản tương đương tiền,01/01/2021 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,54.548.922.527,-,54.548.922.527,54548922527.0,,54548922527.0
Phải thu khách hàng và phải thu khác,01/01/2021 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.008.593.213.776,402.352.143.091,1.410.945.356.867,1008593213776.0,402352143091.0,1410945356867.0
Các khoản cho vay,01/01/2021 > Các khoản cho vay,Các khoản cho vay,404.702.000.000,-,404.702.000.000,404702000000.0,,404702000000.0
Đầu tư ngắn hạn,01/01/2021 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,39.595.000.000,-,39.595.000.000,39595000000.0,,39595000000.0
Đầu tư dài hạn,01/01/2021 > Đầu tư dài hạn,Đầu tư dài hạn,-,27.800.000.000,27.800.000.000,,27800000000.0,27800000000.0
