row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Trái phiếu,2.1 Chứng khoán kinh doanh > Trái phiếu,Trái phiếu,-,-,-,"309.320.000.000,0",(*),-,,,,309320000000.0,,
Trái phiếu doanh nghiệp 1 (1.000.000 TP),2.1 Chứng khoán kinh doanh > Trái phiếu doanh nghiệp 1 (1.000.000 TP),Trái phiếu doanh nghiệp 1 (1.000.000 TP),-,-,-,105.933.000.000,,-,,,,105933000000.0,,
Trái phiếu doanh nghiệp 2 (1.000.000 TP),2.1 Chứng khoán kinh doanh > Trái phiếu doanh nghiệp 2 (1.000.000 TP),Trái phiếu doanh nghiệp 2 (1.000.000 TP),-,-,-,102.269.000.000,,-,,,,102269000000.0,,
Trái phiếu doanh nghiệp 3 (1.000.000 TP),2.1 Chứng khoán kinh doanh > Trái phiếu doanh nghiệp 3 (1.000.000 TP),Trái phiếu doanh nghiệp 3 (1.000.000 TP),-,-,-,101.118.000.000,,-,,,,101118000000.0,,
Cộng,2.1 Chứng khoán kinh doanh > Cộng,Cộng,-,-,-,309.320.000.000,,-,,,,309320000000.0,,
"(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.","(*): Công ty chưa xác định giá trị hợp lý do các trái phiếu này chưa niêm yết trên thị trường, Chế độ kế toán và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản trái phiếu này có thể khác với giá trị ghi số.",,,,,,
2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,2.2 Đầu tư góp vốn vào đơn vị khác,,,,,,
