row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",,
Công ty TNHH MTV Tasco BOT,"Cổ tức, lợi nhuận được chia > Công ty TNHH MTV Tasco BOT",Công ty TNHH MTV Tasco BOT,101.886.160.369,36.400.000.000,101886160369.0,36400000000.0
Công ty TNHH MTV Tasco Hải Phòng,"Cổ tức, lợi nhuận được chia > Công ty TNHH MTV Tasco Hải Phòng",Công ty TNHH MTV Tasco Hải Phòng,-,34.617.877.546,,34617877546.0
Cộng,"Cổ tức, lợi nhuận được chia > Cộng",Cộng,101.886.160.369,71.017.877.546,101886160369.0,71017877546.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty TNHH thu phí tự động VETC,Lãi cho vay > Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,9.396.797.187,9.720.605.751,9396797187.0,9720605751.0
Công ty TNHH MTV Tasco BOT,Lãi cho vay > Công ty TNHH MTV Tasco BOT,Công ty TNHH MTV Tasco BOT,4.913.425,347.124,4913425.0,347124.0
Công ty TNHH Tasco Land,Lãi cho vay > Công ty TNHH Tasco Land,Công ty TNHH Tasco Land,4.237.046.501,20.489.450.685,4237046501.0,20489450685.0
Công ty cổ phần Tasco Auto (*),Lãi cho vay > Công ty cổ phần Tasco Auto (*),Công ty cổ phần Tasco Auto (*),28.104.872.603,-,28104872603.0,
Công ty TNHH Ana Services,Lãi cho vay > Công ty TNHH Ana Services,Công ty TNHH Ana Services,13.150.685,-,13150685.0,
Công ty TNHH BOT Hùng Thắng Phú Thọ,Lãi cho vay > Công ty TNHH BOT Hùng Thắng Phú Thọ,Công ty TNHH BOT Hùng Thắng Phú Thọ,604.351.233,602.700.001,604351233.0,602700001.0
Cộng,Lãi cho vay > Cộng,Cộng,42.361.131.634,30.813.103.561,42361131634.0,30813103561.0
Vay,Vay,Vay,Vay,Vay,,
Công ty cổ phần Savico Hà Nội (*),Vay > Công ty cổ phần Savico Hà Nội (*),Công ty cổ phần Savico Hà Nội (*),132.000.000.000,-,132000000000.0,
Cộng,Vay > Cộng,Cộng,132.000.000.000,-,132000000000.0,
Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,Thanh toán gốc vay,,
Công ty TNHH MTV Tasco Hải Phòng,Thanh toán gốc vay > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,-,3.004.589.836,,3004589836.0
Công ty cổ phần Savico Hà Nội (*),Thanh toán gốc vay > Công ty cổ phần Savico Hà Nội (*),Công ty cổ phần Savico Hà Nội (*),13.200.000.000,-,13200000000.0,
Cộng,Thanh toán gốc vay > Cộng,Cộng,13.200.000.000,3.004.589.836,13200000000.0,3004589836.0
Lãi vay,Lãi vay,Lãi vay,Lãi vay,Lãi vay,,
Công ty TNHH Tasco Hải Phòng,Lãi vay > Công ty TNHH Tasco Hải Phòng,Công ty TNHH Tasco Hải Phòng,-,68.817.455,,68817455.0
Công ty cổ phần Savico Hà Nội (*),Lãi vay > Công ty cổ phần Savico Hà Nội (*),Công ty cổ phần Savico Hà Nội (*),5.738.580.795,-,5738580795.0,
Cộng,Lãi vay > Cộng,Cộng,5.738.580.795,68.817.455,5738580795.0,68817455.0
