row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Nhà xuống (bao gồm chỉ phí phát triển đất và cơ sở hạ tầng),
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,27.405.394.467,27405394467.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,44.784.398.876,44784398876.0
- Giảm trong năm (*),Nguyên giá: > - Giảm trong năm (*),- Giảm trong năm (*),(44.784.398.876),-44784398876.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,27.405.394.467,27405394467.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,5.223.323.362,5223323362.0
- Tăng trong năm,Giá trị khấu hao lũy kế: > - Tăng trong năm,- Tăng trong năm,3.540.728.634,3540728634.0
- Giảm trong năm (*),Giá trị khấu hao lũy kế: > - Giảm trong năm (*),- Giảm trong năm (*),(1.773.841.629),-1773841629.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,6.990.210.367,6990210367.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,22.182.071.105,22182071105.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,20.415.184.100,20415184100.0
