row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
- Công ty JA Solar Vina Hong Kong (i),Ngắn hạn > - Công ty JA Solar Vina Hong Kong (i),- Công ty JA Solar Vina Hong Kong (i),219.036.843.480,-,219036843480.0,
- Công ty KCT Engineering Ltd (ii),Ngắn hạn > - Công ty KCT Engineering Ltd (ii),- Công ty KCT Engineering Ltd (ii),218.749.608.000,-,218749608000.0,
- Công ty TNHH ZYF Quốc Té (i),Ngắn hạn > - Công ty TNHH ZYF Quốc Té (i),- Công ty TNHH ZYF Quốc Té (i),214.179.000.000,-,214179000000.0,
- Công ty Cổ phần Đầu tư Sài Gòn (iii),Ngắn hạn > - Công ty Cổ phần Đầu tư Sài Gòn (iii),- Công ty Cổ phần Đầu tư Sài Gòn (iii),104.130.000.000,104.130.000.000,104130000000.0,104130000000.0
- Công ty TNHH L.G Display Việt Nam Hải Phòng (v),Ngắn hạn > - Công ty TNHH L.G Display Việt Nam Hải Phòng (v),- Công ty TNHH L.G Display Việt Nam Hải Phòng (v),81.883.545.343,-,81883545343.0,
- Công ty Cổ phần Dịch vụ Kinh Bắc (iv),Ngắn hạn > - Công ty Cổ phần Dịch vụ Kinh Bắc (iv),- Công ty Cổ phần Dịch vụ Kinh Bắc (iv),78.648.481.465,96.913.466.665,78648481465.0,96913466665.0
- Công ty Cổ phần Bao bì Hoàng Hải Việt Nam (v),Ngắn hạn > - Công ty Cổ phần Bao bì Hoàng Hải Việt Nam (v),- Công ty Cổ phần Bao bì Hoàng Hải Việt Nam (v),46.809.000.000,55.836.450.000,46809000000.0,55836450000.0
- Công ty TNHH LG Innotek Việt Nam Hải Phòng (v),Ngắn hạn > - Công ty TNHH LG Innotek Việt Nam Hải Phòng (v),- Công ty TNHH LG Innotek Việt Nam Hải Phòng (v),35.226.100.000,-,35226100000.0,
- Công ty TNHH LG Electronics Việt Nam Hải Phòng (v),Ngắn hạn > - Công ty TNHH LG Electronics Việt Nam Hải Phòng (v),- Công ty TNHH LG Electronics Việt Nam Hải Phòng (v),458.022.600,50.705.322.986,458022600.0,50705322986.0
- Công ty TNHH Heesung Electronics Vietnam (v),Ngắn hạn > - Công ty TNHH Heesung Electronics Vietnam (v),- Công ty TNHH Heesung Electronics Vietnam (v),28.387.800,47.942.393.094,28387800.0,47942393094.0
- Công ty TNHH Heasung Electronics Việt Nam (v),Ngắn hạn > - Công ty TNHH Heasung Electronics Việt Nam (v),- Công ty TNHH Heasung Electronics Việt Nam (v),-,23.271.469.200,,23271469200.0
- Các khoản phải thu khách hàng khác (v),Ngắn hạn > - Các khoản phải thu khách hàng khác (v),- Các khoản phải thu khách hàng khác (v),96.435.999.195,115.181.504.307,96435999195.0,115181504307.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.095.584.987.883,493.980.606.252,1095584987883.0,493980606252.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,Phải thu từ khách hàng,,
- Công ty Cổ phần Dịch vụ Kinh Bắc (iv),Phải thu từ khách hàng > - Công ty Cổ phần Dịch vụ Kinh Bắc (iv),- Công ty Cổ phần Dịch vụ Kinh Bắc (iv),211.863.915.704,332.305.529.704,211863915704.0,332305529704.0
TỔNG CỘNG,Phải thu từ khách hàng > TỔNG CỘNG,TỔNG CỘNG,211.863.915.704,332.305.529.704,211863915704.0,332305529704.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,6.835.037.650,8.583.443.300,6835037650.0,8583443300.0
Dải hạn,Dải hạn,Dải hạn,-,-,,
