row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","Mãy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","numeric__Mãy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,325.499.949.077,64.120.551.693,68.315.304.859,26.365.431.153,1.176.109.090,485.477.345.872,325499949077.0,64120551693.0,68315304859.0,26365431153.0,1176109090.0,485477345872.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,27.853.744.107,-,-,-,-,27.853.744.107,27853744107.0,,,,,27853744107.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,958.019.000,17.976.516.364,81.222.727,181.500.000,19.197.258.091,,958019000.0,17976516364.0,81222727.0,181500000.0,19197258091.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,-,-,113.090.908,-,-,113.090.908,,,113090908.0,,,113090908.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.039.517.363),-,-,(2.039.517.363),,,-2039517363.0,,,-2039517363.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(415.904.320),(177.500.000),-,-,-,(593.404.320),-415904320.0,-177500000.0,,,,-593404320.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,352.937.788.864,64.901.070.693,84.365.394.768,26.446.653.880,1.357.609.090,530.008.517.295,352937788864.0,64901070693.0,84365394768.0,26446653880.0,1357609090.0,530008517295.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,48.523.332.672,4.920.527.507,19.094.174.504,6.210.098.398,1.141.609.090,79.889.742.171,48523332672.0,4920527507.0,19094174504.0,6210098398.0,1141609090.0,79889742171.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,152.313.151.031,30.686.096.412,38.315.643.127,9.477.828.343,1.141.609.090,231.934.328.003,152313151031.0,30686096412.0,38315643127.0,9477828343.0,1141609090.0,231934328003.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,26.971.086.596,5.662.042.428,7.408.548.808,3.078.275.303,38.056.454,43.158.009.589,26971086596.0,5662042428.0,7408548808.0,3078275303.0,38056454.0,43158009589.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.166.134.442),-,-,(1.166.134.442),,,-1166134442.0,,,-1166134442.0
- Giảm khác,Giá trị hao mòn lũy kế: > - Giảm khác,- Giảm khác,(31.192.823),(12.678.570),-,-,-,(43.871.393),-31192823.0,-12678570.0,,,,-43871393.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,179.253.044.804,36.335.460.270,44.558.057.493,12.556.103.646,1.179.665.544,273.882.331.757,179253044804.0,36335460270.0,44558057493.0,12556103646.0,1179665544.0,273882331757.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,173.186.798.046,33.434.455.281,29.999.661.732,16.887.602.810,34.500.000,253.543.017.869,173186798046.0,33434455281.0,29999661732.0,16887602810.0,34500000.0,253543017869.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,173.684.744.060,28.565.610.423,39.807.337.275,13.890.550.234,177.943.546,256.126.185.538,173684744060.0,28565610423.0,39807337275.0,13890550234.0,177943546.0,256126185538.0
