row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí phát triển cơ sở hạ tầng trích trước đối với doanh thu cho thuê đất đã được ghi nhận,Ngắn hạn > Chi phí phát triển cơ sở hạ tầng trích trước đối với doanh thu cho thuê đất đã được ghi nhận,Chi phí phát triển cơ sở hạ tầng trích trước đối với doanh thu cho thuê đất đã được ghi nhận,226.880.785.092,53.600.398.002,226880785092.0,53600398002.0
Tiền thuê đất trích trước,Ngắn hạn > Tiền thuê đất trích trước,Tiền thuê đất trích trước,37.513.311.365,-,37513311365.0,
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,59.864.605.235,53.642.144.169,59864605235.0,53642144169.0
Chi phí dịch vụ mua ngoài,Ngắn hạn > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,33.421.865.503,1.975.855.000,33421865503.0,1975855000.0
Chi phí phải trả bên liên quan(Thuyết minh số 29),Ngắn hạn > Chi phí phải trả bên liên quan(Thuyết minh số 29),Chi phí phải trả bên liên quan(Thuyết minh số 29),13.023.831.373,18.523.150.684,13023831373.0,18523150684.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,370.704.398.568,127.741.547.855,370704398568.0,127741547855.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi trái phiếu phải trả (*),Dài hạn > Chi phí lãi trái phiếu phải trả (*),Chi phí lãi trái phiếu phải trả (*),872.632.073.279,815.324.792.328,872632073279.0,815324792328.0
Tiền thuê đất trích trước,Dài hạn > Tiền thuê đất trích trước,Tiền thuê đất trích trước,-,34.415.881.986,,34415881986.0
Chi phí phải trả bên liên quan(Thuyết minh số 29),Dài hạn > Chi phí phải trả bên liên quan(Thuyết minh số 29),Chi phí phải trả bên liên quan(Thuyết minh số 29),59.297.564.042,65.081.187.231,59297564042.0,65081187231.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,931.929.637.321,914.821.861.545,931929637321.0,914821861545.0
