row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2020,Năm 2019,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2020,numeric__Năm 2019
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,20,302.970.443.350,136.649.941.164,,1.0,20.0,302970443350.0,136649941164.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,302.970.443.350,136.649.941.164,,10.0,,302970443350.0,136649941164.0
4.,4.,4.,Giá vốn hàng bán,11,21,159.868.248.240,89.144.410.598,,11.0,21.0,159868248240.0,89144410598.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,143.102.195.110,47.505.530.566,,20.0,,143102195110.0,47505530566.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,22,45.594.890.457,25.272.974.494,,21.0,22.0,45594890457.0,25272974494.0
7.,7.,7.,Chi phí tài chính,22,23,23.714.895.481,910.202.719,,22.0,23.0,23714895481.0,910202719.0
,,,- Trong đó: Chi phí lãi vay,23,,20.373.530.400,546.202.719,,23.0,,20373530400.0,546202719.0
8.,8.,8.,Chi phí bán hàng,25,24,21.337.839.818,35.141.663.442,,25.0,24.0,21337839818.0,35141663442.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,25,22.451.880.482,22.377.914.372,,26.0,25.0,22451880482.0,22377914372.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,121.192.469.786,14.348.724.527,,30.0,,121192469786.0,14348724527.0
11.,11.,11.,Thu nhập khác,31,26,640.818.998,20.299.131,,31.0,26.0,640818998.0,20299131.0
12.,12.,12.,Chi phí khác,32,27,623.490.360,982.473.603,,32.0,27.0,623490360.0,982473603.0
13.,13.,13.,Lợi nhuận khác,40,,17.328.638,(962.174.472),,40.0,,17328638.0,-962174472.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,121.209.798.424,13.386.550.055,,50.0,,121209798424.0,13386550055.0
15.,15.,15.,Chi phí thuế TNDN hiện hành,51,28,24.497.022.618,3.224.757.717,,51.0,28.0,24497022618.0,3224757717.0
16.,16.,16.,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận kế toán sau thuế,60,,96.712.775.806,10.161.792.338,,60.0,,96712775806.0,10161792338.0
