row_label_raw,row_label_full,col_0,31/12/2023VND,01/01/2023VND,numeric__31/12/2023VND,numeric__01/01/2023VND
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
- Bà Nguyễn Thị Lệ Thúy,Phải thu khác > - Bà Nguyễn Thị Lệ Thúy,- Bà Nguyễn Thị Lệ Thúy,185.013.121,4.261.657.021,185013121.0,4261657021.0
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,,
- Phải thu khác ngắn hạn về lãi vay,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu > - Phải thu khác ngắn hạn về lãi vay,- Phải thu khác ngắn hạn về lãi vay,29.900.000.000,6.100.000.000,29900000000.0,6100000000.0
- Phải thu về cho vay dài hạn,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu > - Phải thu về cho vay dài hạn,- Phải thu về cho vay dài hạn,490.000.000.000,490.000.000.000,490000000000.0,490000000000.0
- Phải thu về hợp đồng hợp tác kinh doanh,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu > - Phải thu về hợp đồng hợp tác kinh doanh,- Phải thu về hợp đồng hợp tác kinh doanh,500.000.000.000,-,500000000000.0,
Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,,
- Ký quỹ ngắn hạn,Công ty Cổ phần Bất động sản Khải Minh Land > - Ký quỹ ngắn hạn,- Ký quỹ ngắn hạn,190.000.000.000,170.000.000.000,190000000000.0,170000000000.0
- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,Công ty Cổ phần Bất động sản Khải Minh Land > - Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,18.356.666.667,42.760.000.000,18356666667.0,42760000000.0
- Phải thu khác ngắn hạn về tiền chi hộ,Công ty Cổ phần Bất động sản Khải Minh Land > - Phải thu khác ngắn hạn về tiền chi hộ,- Phải thu khác ngắn hạn về tiền chi hộ,-,3.314.661.825,,3314661825.0
- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,Công ty Cổ phần Bất động sản Khải Minh Land > - Phải thu dài hạn về hợp đồng hợp tác kinh doanh,- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,1.844.000.000.000,1.534.000.000.000,1844000000000.0,1534000000000.0
- Phải trả khác liên quan đến các khoản chi hộ,Công ty Cổ phần Bất động sản Khải Minh Land > - Phải trả khác liên quan đến các khoản chi hộ,- Phải trả khác liên quan đến các khoản chi hộ,23.800.354.559,48.017.354.559,23800354559.0,48017354559.0
Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,,
- Phải thu khác ngắn hạn về tiền chi hộ dự án,Công ty TNHH Giao Hường Xanh > - Phải thu khác ngắn hạn về tiền chi hộ dự án,- Phải thu khác ngắn hạn về tiền chi hộ dự án,60.598.404.304,227.424.404.304,60598404304.0,227424404304.0
- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,Công ty TNHH Giao Hường Xanh > - Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,-,32.000.000.000,,32000000000.0
- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,Công ty TNHH Giao Hường Xanh > - Phải thu dài hạn về hợp đồng hợp tác kinh doanh,- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,440.000.000.000,800.000.000.000,440000000000.0,800000000000.0
Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,,
- Người mua trả tiền trước,Công ty TNHH Cộng đồng Môi giới > - Người mua trả tiền trước,- Người mua trả tiền trước,-,388.870.731,,388870731.0
- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,Công ty TNHH Cộng đồng Môi giới > - Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,- Phải thu khác ngắn hạn về lãi hợp tác kinh doanh,22.691.666.666,22.580.000.000,22691666666.0,22580000000.0
- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,Công ty TNHH Cộng đồng Môi giới > - Phải thu dài hạn về hợp đồng hợp tác kinh doanh,- Phải thu dài hạn về hợp đồng hợp tác kinh doanh,445.500.000.000,773.000.000.000,445500000000.0,773000000000.0
