row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH Tập đoàn Khải Hoàn,Công ty TNHH Tập đoàn Khải Hoàn,Công ty TNHH Tập đoàn Khải Hoàn,Thành viên góp vốn lớn của công ty này là chú tịch HDQT của Khải Hoàn Land,
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tàu,Công ty con của Công ty TNHH Tập đoàn Khải Hoàn,
Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,Công ty Cổ phần Bất động sản Khải Minh Land,Không còn là bên liên quan kể từ ngày 22/11/2024,
Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,Công ty TNHH Cộng đồng Môi giới,Không còn là bên liên quan kể từ ngày 05/03/2024,
Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,Công ty TNHH Giao Hường Xanh,Ông Đình Hoàng Tâm là thành viên góp vốn của công ty này,
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,"Cổ đông lớn, Chủ tịch HDQT",
Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,"Cổ đông lớn, Vợ ông Nguyễn Khải Hoàn",
Bà Nguyễn Thị Lệ Thủy,Bà Nguyễn Thị Lệ Thủy,Bà Nguyễn Thị Lệ Thủy,Chị gái ông Nguyễn Khải Hoàn,
Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Bà Đình Thị Nhật Hạnh,Tổng giám đốc,
Ông Đình Hoàng Tâm,Ông Đình Hoàng Tâm,Ông Đình Hoàng Tâm,Anh trai bà Đình Thị Nhật Hạnh,
