row_label_raw,row_label_full,col_0,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,29.379.435,24.575.774,29379435.0,24575774.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",85.959,100.721,85959.0,100721.0
Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,6.600,9.008,6600.0,9008.0
,,,29.471.994,24.685.503,29471994.0,24685503.0
Phân tích dư nợ cho vay theo thời hạn cho vay như sau:,Phân tích dư nợ cho vay theo thời hạn cho vay như sau:,Phân tích dư nợ cho vay theo thời hạn cho vay như sau:,Phân tích dư nợ cho vay theo thời hạn cho vay như sau:,Phân tích dư nợ cho vay theo thời hạn cho vay như sau:,,
,,,31/12/2018Triệu VND,31/12/2017Triệu VND,,
Nợ ngắn hạn,Phân tích dư nợ cho vay theo thời hạn cho vay như sau: > Nợ ngắn hạn,Nợ ngắn hạn,16.566.294,11.516.015,16566294.0,11516015.0
Nợ trung hạn,Phân tích dư nợ cho vay theo thời hạn cho vay như sau: > Nợ trung hạn,Nợ trung hạn,5.139.220,6.658.546,5139220.0,6658546.0
Nợ dài hạn,Phân tích dư nợ cho vay theo thời hạn cho vay như sau: > Nợ dài hạn,Nợ dài hạn,7.766.480,6.510.942,7766480.0,6510942.0
,,,29.471.994,24.685.503,29471994.0,24685503.0
