row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Hoạt động sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình,Hoạt động sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình,Hoạt động sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình,8.172.209,11.215.740,8172209.0,11215740.0
"Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản","Nông nghiệp, lâm nghiệp và thuỷ sản",7.043.685,7.407.912,7043685.0,7407912.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,18.203.288,11.981.882,18203288.0,11981882.0
"Lĩnh vực bất động sản (kinh doanh, tự sử dụng)","Lĩnh vực bất động sản (kinh doanh, tự sử dụng)","Lĩnh vực bất động sản (kinh doanh, tự sử dụng)",2.928.243,3.362.115,2928243.0,3362115.0
Hoạt động đầu tư,Hoạt động đầu tư,Hoạt động đầu tư,270.000,487.400,270000.0,487400.0
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ",3.162.642,2.049.933,3162642.0,2049933.0
Xây dựng,Xây dựng,Xây dựng,4.667.549,983.802,4667549.0,983802.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,6.801,653.914,6801.0,653914.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",41.954,23.184,41954.0,23184.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,192.321,203.287,192321.0,203287.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,2.000,3.035,2000.0,3035.0
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,409,422,409.0,422.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,10.725,10.805,10725.0,10805.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí",640,2.800,640.0,2800.0
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",45,524,45.0,524.0
Khai khoáng,Khai khoáng,Khai khoáng,-,500,,500.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,84,84,84.0,84.0
Cộng,Cộng,Cộng,44.702.595,38.387.339,44702595.0,38387339.0
