row_label_raw,row_label_full,"Vay Ngân hàng Nhà nước Việt namVay chiết khấu, tái chiết khấu các giấy tờ có giá",31/12/2015Triệu VND > 1.411.502,31/12/2014Triệu VND > -,numeric__31/12/2015Triệu VND > 1.411.502,numeric__31/12/2014Triệu VND > -
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,
,,,31/12/2015Triệu VND,31/12/2014Triệu VND,,
Tiền gửi không kỳ hạnTiền gửi không kỳ hạn bằng VND,Tiền gửi và vay các tổ chức tín dụng khác > Tiền gửi không kỳ hạnTiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạnTiền gửi không kỳ hạn bằng VND,39.439,3.774,39439.0,3774.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,237.502,205.420,237502.0,205420.0
Tiền gửi có kỳ hạnTiền gửi có kỳ hạn bằng VND,Tiền gửi và vay các tổ chức tín dụng khác > Tiền gửi có kỳ hạnTiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạnTiền gửi có kỳ hạn bằng VND,2.565.142,306.146,2565142.0,306146.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,641.516,451.375,641516.0,451375.0
,,,3.483.599,966.715,3483599.0,966715.0
Tiền vayTiền vay bằng VND,Tiền gửi và vay các tổ chức tín dụng khác > Tiền vayTiền vay bằng VND,Tiền vayTiền vay bằng VND,3.828.877,3.425.000,3828877.0,3425000.0
Tiền vay bằng ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > Tiền vay bằng ngoại tệ,Tiền vay bằng ngoại tệ,197.010,212.460,197010.0,212460.0
,,,4.025.887,3.637.460,4025887.0,3637460.0
,,,7.509.486,4.604.175,7509486.0,4604175.0
Lãi suất năm tại thời điểm cuối năm như sau:,Lãi suất năm tại thời điểm cuối năm như sau:,Lãi suất năm tại thời điểm cuối năm như sau:,Lãi suất năm tại thời điểm cuối năm như sau:,Lãi suất năm tại thời điểm cuối năm như sau:,,
,,,31/12/2015,31/12/2014,,
Tiền gửi không kỳ hạn bằng VND,Lãi suất năm tại thời điểm cuối năm như sau: > Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,"0,30%","0,30%",0.003,0.003
Tiền gửi không kỳ hạn bằng ngoại tệ,Lãi suất năm tại thời điểm cuối năm như sau: > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,"0,00%","0,10%",0.0,0.001
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"4,60% - 5,20%","3,20% - 3,60%",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,10%","1,30% - 2,95%",0.001,
Tiền vay bằng VND,Tiền vay bằng VND,Tiền vay bằng VND,"4,50% - 6,25%","3,30% - 12,00%",,
Tiền vay bằng ngoại tệ,Tiền vay bằng VND > Tiền vay bằng ngoại tệ,Tiền vay bằng ngoại tệ,"0,15% - 0,20%","2,00%",,0.02
