row_label_raw,row_label_full,col_0,2016Triệu VND,2015Triệu VND,numeric__2016Triệu VND,numeric__2015Triệu VND
Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác,,
Thu từ các khoản nợ đã xử lý,Thu nhập từ hoạt động kinh doanh khác > Thu từ các khoản nợ đã xử lý,Thu từ các khoản nợ đã xử lý,508.786,458.775,508786.0,458775.0
Thu nhập từ các hoạt động ủy thác,Thu nhập từ hoạt động kinh doanh khác > Thu nhập từ các hoạt động ủy thác,Thu nhập từ các hoạt động ủy thác,17.077,7.227,17077.0,7227.0
Thu từ thanh lý tài sản,Thu nhập từ hoạt động kinh doanh khác > Thu từ thanh lý tài sản,Thu từ thanh lý tài sản,345.386,86,345386.0,86.0
Lãi từ các công cụ tài chính phải sinh khác,Thu nhập từ hoạt động kinh doanh khác > Lãi từ các công cụ tài chính phải sinh khác,Lãi từ các công cụ tài chính phải sinh khác,42.117,70.153,42117.0,70153.0
Thu từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,73.299,16.731,73299.0,16731.0
,,,986.665,552.972,986665.0,552972.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Lỗ từ các công cụ tài chính phải sinh khác,Chi phí hoạt động khác > Lỗ từ các công cụ tài chính phải sinh khác,Lỗ từ các công cụ tài chính phải sinh khác,(44.735),(62.893),-44735.0,-62893.0
Chi cho hoạt động kinh doanh khác,Chi phí hoạt động khác > Chi cho hoạt động kinh doanh khác,Chi cho hoạt động kinh doanh khác,(58.321),(9.994),-58321.0,-9994.0
,,,(103.056),(72.887),-103056.0,-72887.0
,,,883.609,480.085,883609.0,480085.0
