row_label_raw,row_label_full,col_0,31/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__31/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,29.338.805,35.363.429,29338805.0,35363429.0
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,9.113.233,11.536.082,9113233.0,11536082.0
- Bằng VND,- Bằng VND,- Bằng VND,6.344.183,7.999.219,6344183.0,7999219.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,2.769.050,3.536.863,2769050.0,3536863.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,20.225.572,23.827.347,20225572.0,23827347.0
- Bằng VND,- Bằng VND,- Bằng VND,16.001.375,20.313.150,16001375.0,20313150.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,4.224.197,3.514.197,4224197.0,3514197.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,10.548.559,9.894.199,10548559.0,9894199.0
- Bằng VND,- Bằng VND,- Bằng VND,7.777.121,7.861.987,7777121.0,7861987.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,2.771.438,2.032.212,2771438.0,2032212.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,(196.000),(196.000),-196000.0,-196000.0
,,,39.691.364,45.061.628,39691364.0,45061628.0
