row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,Tài sản hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__Tài sản hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.367.799,1.192.297,578.096,130.267,3.268.459,1367799.0,1192297.0,578096.0,130267.0,3268459.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.858,162.596,91.691,21.995,283.140,6858.0,162596.0,91691.0,21995.0,283140.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(307),(5.563),(7.777),(2.793),(16.440),-307.0,-5563.0,-7777.0,-2793.0,-16440.0
Hoàn thành mua sắm tài sản cố định,Nguyên giá > Hoàn thành mua sắm tài sản cố định,Hoàn thành mua sắm tài sản cố định,-,43.481,3.198,859,47.538,,43481.0,3198.0,859.0,47538.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,2.475,(6.110),-,7.521,3.886,2475.0,-6110.0,,7521.0,3886.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(17),(511),(187),(55),(770),-17.0,-511.0,-187.0,-55.0,-770.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.376.808,1.386.190,665.021,157.794,3.585.813,1376808.0,1386190.0,665021.0,157794.0,3585813.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,208.492,919.785,425.961,128.069,1.682.307,208492.0,919785.0,425961.0,128069.0,1682307.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,56.040,152.190,65.054,4.051,277.335,56040.0,152190.0,65054.0,4051.0,277335.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(307),(5.467),(6.559),(2.776),(15.109),-307.0,-5467.0,-6559.0,-2776.0,-15109.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(14),(491),(169),(49),(723),-14.0,-491.0,-169.0,-49.0,-723.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,264.211,1.066.017,484.287,129.295,1.943.810,264211.0,1066017.0,484287.0,129295.0,1943810.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.159.307,272.512,152.135,2.198,1.586.152,1159307.0,272512.0,152135.0,2198.0,1586152.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.112.597,320.173,180.734,28.499,1.642.003,1112597.0,320173.0,180734.0,28499.0,1642003.0
