row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,3.743.167,-,-,-,-,-,-,3.743.167,,3743167.0,,,,,,,3743167.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,39.600.185,-,-,-,-,-,-,39.600.185,,39600185.0,,,,,,,39600185.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,20.932.422,10.811.934,2.089.250,-,-,-,33.833.606,,,20932422.0,10811934.0,2089250.0,,,,33833606.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,1.220.511,-,-,-,-,-,1.220.511,,,1220511.0,,,,,,1220511.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,44.547,113.073,61.362,(108.163),(26.991),-,83.828,,,44547.0,113073.0,61362.0,-108163.0,-26991.0,,83828.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.758.937,-,164.957.035,194.589.008,12.150.768,17.189.089,41.047.128,518.884,436.210.849,5758937.0,,164957035.0,194589008.0,12150768.0,17189089.0,41047128.0,518884.0,436210849.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,18.141.457,40.881.259,6.626.276,42.653.213,14.377.867,31.205.871,153.935.943,50000.0,,18141457.0,40881259.0,6626276.0,42653213.0,14377867.0,31205871.0,153935943.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,5.838.767,-,-,-,-,-,-,5.838.767,,5838767.0,,,,,,,5838767.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,4.199.527,-,-,-,-,-,-,4.199.527,,4199527.0,,,,,,,4199527.0
