row_label_raw,row_label_full,col_0,Năm 2022VND,Năm 2021VND,numeric__Năm 2022VND,numeric__Năm 2021VND
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,660.568.842.658,736.275.485.072,660568842658.0,736275485072.0
Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,,,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,,,
- Chi phí không được khấu trừ,Các khoản điều chỉnh tăng > - Chi phí không được khấu trừ,- Chi phí không được khấu trừ,13.340.962.982,15.221.036.014,13340962982.0,15221036014.0
- Các khoản điều chỉnh làm tăng lợi nhuận trước thuế khác,Các khoản điều chỉnh tăng > - Các khoản điều chỉnh làm tăng lợi nhuận trước thuế khác,- Các khoản điều chỉnh làm tăng lợi nhuận trước thuế khác,60.478.507.209,-,60478507209.0,
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,,,
- Thu nhập từ cổ tức,Các khoản điều chỉnh giảm > - Thu nhập từ cổ tức,- Thu nhập từ cổ tức,(2.599.311.939),(4.172.352.906),-2599311939.0,-4172352906.0
Chênh lệch thuần đánh giá lại tài sản tài chính FVTPL,Các khoản điều chỉnh giảm > Chênh lệch thuần đánh giá lại tài sản tài chính FVTPL,Chênh lệch thuần đánh giá lại tài sản tài chính FVTPL,9.237.831.775,(12.760.091.580),9237831775.0,-12760091580.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,,
Thu nhập chịu thuế ước tính năm hiện hành,Chênh lệch tỷ giá hối đoái > Thu nhập chịu thuế ước tính năm hiện hành,Thu nhập chịu thuế ước tính năm hiện hành,741.026.832.685,734.564.076.600,741026832685.0,734564076600.0
Thuế suất thuế TNDN,Chênh lệch tỷ giá hối đoái > Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,20%,0.2,0.2
Thuế TNDN phải trả ước tính cho năm hiện hành,Chênh lệch tỷ giá hối đoái > Thuế TNDN phải trả ước tính cho năm hiện hành,Thuế TNDN phải trả ước tính cho năm hiện hành,148.205.366.537,146.912.815.320,148205366537.0,146912815320.0
Thuế TNDN phải nộp thêm,Chênh lệch tỷ giá hối đoái > Thuế TNDN phải nộp thêm,Thuế TNDN phải nộp thêm,5.389.240,-,5389240.0,
,,,148.210.755.777,146.912.815.320,148210755777.0,146912815320.0
