row_label_raw,row_label_full,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Tổng giá vốn VND,Lãi bán chứng khoán trong năm VND,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Tổng giá vốn VND,numeric__Lãi bán chứng khoán trong năm VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,36.642.015,890.171.230.750,832.243.113.512,57.928.117.238,36642015.0,890171230750.0,832243113512.0,57928117238.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,584.184.800,69.178.095.341.109,68.279.875.985.069,898.219.356.040,584184800.0,69178095341109.0,68279875985069.0,898219356040.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,58.899.000,6.382.619.221.000,6.380.483.644.327,2.135.576.673,58899000.0,6382619221000.0,6380483644327.0,2135576673.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,9.695,384.042.652.455,376.619.254.216,7.423.398.239,9695.0,384042652455.0,376619254216.0,7423398239.0
Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,3.281.100,2.439.900.910,1.900.369.000,539.531.910,3281100.0,2439900910.0,1900369000.0,539531910.0
Đáo hạn chứng quyền,Đáo hạn chứng quyền,Đáo hạn chứng quyền,4.685.600,-,-,670.544.081,4685600.0,,,670544081.0
Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,2.070.000,30.164.970.000,26.405.182.194,3.759.787.806,2070000.0,30164970000.0,26405182194.0,3759787806.0
,,,689.772.210,76.867.533.316.224,75.897.527.548.318,970.676.311.987,689772210.0,76867533316224.0,75897527548318.0,970676311987.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,
Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Tổng giá vốn VND,Lãi bán chứng khoán trong năm VND,,,,
Cổ phiếu niêm yết,Danh mục các khoản đầu tư > Cổ phiếu niêm yết,Cổ phiếu niêm yết,15.750.212,389.433.357.600,373.222.200.034,16.211.157.566,15750212.0,389433357600.0,373222200034.0,16211157566.0
Chứng chỉ tiền gửi,Danh mục các khoản đầu tư > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,572.177.881,75.898.880.495.456,75.810.844.395.859,88.036.099.597,572177881.0,75898880495456.0,75810844395859.0,88036099597.0
Trái phiếu niêm yết,Danh mục các khoản đầu tư > Trái phiếu niêm yết,Trái phiếu niêm yết,5.680.000,579.241.060.000,574.685.053.334,4.556.006.666,5680000.0,579241060000.0,574685053334.0,4556006666.0
Trái phiếu chưa niêm yết,Danh mục các khoản đầu tư > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,5.118.072,1.751.131.921.606,1.731.937.864.062,19.194.057.544,5118072.0,1751131921606.0,1731937864062.0,19194057544.0
Chứng quyền có bảo đảm,Danh mục các khoản đầu tư > Chứng quyền có bảo đảm,Chứng quyền có bảo đảm,2.540.200,3.512.875.856,3.184.358.000,328.517.856,2540200.0,3512875856.0,3184358000.0,328517856.0
Đáo hạn chứng quyền,Danh mục các khoản đầu tư > Đáo hạn chứng quyền,Đáo hạn chứng quyền,403.200,-,-,263.985.527,403200.0,,,263985527.0
Chứng chỉ quỹ chưa niêm yết,Danh mục các khoản đầu tư > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,1.839.370,25.244.536.993,23.463.240.018,1.781.296.975,1839370.0,25244536993.0,23463240018.0,1781296975.0
,,,603.508.935,78.647.444.247.511,78.517.337.111.307,130.371.121.731,603508935.0,78647444247511.0,78517337111307.0,130371121731.0
