row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển (*) VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát (“NCI”) VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển (*) VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát (“NCI”) VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,Số dư tại ngày 1 tháng,,,,,,,,,
1 năm 2016,Số dư tại ngày 1 tháng > 1 năm 2016,1 năm 2016,5.351.601.170.000,5.088.056.394.992,(265.775.657.006),(1.640.252.631.255),-,22.731.972.844,2.984.708.427.270,1.274.377.326.585,12.815.447.003.430,5351601170000.0,5088056394992.0,-265775657006.0,-1640252631255.0,,22731972844.0,2984708427270.0,1274377326585.0,12815447003430.0
Phát hành cổ phiếu (Thuyết minh 25),Số dư tại ngày 1 tháng > Phát hành cổ phiếu (Thuyết minh 25),Phát hành cổ phiếu (Thuyết minh 25),30.000.000.000,-,-,-,-,-,-,-,30.000.000.000,30000000000.0,,,,,,,,30000000000.0
Lợi nhuận thuần trong năm,Số dư tại ngày 1 tháng > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,2.679.382.871.020,111.729.376.375,2.791.112.247.395,,,,,,,2679382871020.0,111729376375.0,2791112247395.0
Cổ tức (Thuyết minh 26),Số dư tại ngày 1 tháng > Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,-,-,-,-,(2.896.096.655.200),-,(2.896.096.655.200),,,,,,,-2896096655200.0,,-2896096655200.0
Thanh toán thù lao cho Hội đồng Quản trị của công ty con,Số dư tại ngày 1 tháng > Thanh toán thù lao cho Hội đồng Quản trị của công ty con,Thanh toán thù lao cho Hội đồng Quản trị của công ty con,-,-,-,-,-,-,(967.126.924),(616.625.077),(1.583.752.001),,,,,,,-967126924.0,-616625077.0,-1583752001.0
"Mua thêm từ NCI (Thuyết minh 5(b), 5(c), 5(d) và 5(e))","Số dư tại ngày 1 tháng > Mua thêm từ NCI (Thuyết minh 5(b), 5(c), 5(d) và 5(e))","Mua thêm từ NCI (Thuyết minh 5(b), 5(c), 5(d) và 5(e))",-,-,-,-,-,-,(332.377.308.207),(477.190.588.281),(809.567.896.488),,,,,,,-332377308207.0,-477190588281.0,-809567896488.0
Bán cho NCI mà không thay đổi quyền kiểm soát (Thuyết minh 5(e)),Số dư tại ngày 1 tháng > Bán cho NCI mà không thay đổi quyền kiểm soát (Thuyết minh 5(e)),Bán cho NCI mà không thay đổi quyền kiểm soát (Thuyết minh 5(e)),-,-,-,-,-,-,104.420,205.380,309.800,,,,,,,104420.0,205380.0,309800.0
Mua công ty con cổ lợi ích cổ đông không kiểm soát (Thuyết minh 5(a)),Số dư tại ngày 1 tháng > Mua công ty con cổ lợi ích cổ đông không kiểm soát (Thuyết minh 5(a)),Mua công ty con cổ lợi ích cổ đông không kiểm soát (Thuyết minh 5(a)),-,-,-,-,-,-,-,1.380.686.995,1.380.686.995,,,,,,,,1380686995.0,1380686995.0
Góp vốn vào một công ty con của NCI,Số dư tại ngày 1 tháng > Góp vốn vào một công ty con của NCI,Góp vốn vào một công ty con của NCI,-,-,-,-,-,-,-,134.010,134.010,,,,,,,,134010.0,134010.0
Chênh lệch tỷ giá hối đoái,Số dư tại ngày 1 tháng > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,(2.253.725.216),-,-,(4.664),(2.253.729.880),,,,,-2253725216.0,,,-4664.0,-2253729880.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 1 tháng > Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,5.381.601.170.000,5.088.056.394.992,(265.775.657.006),(1.640.252.631.255),(2.253.725.216),22.731.972.844,2.434.650.312.379,909.680.511.323,11.928.438.348.061,5381601170000.0,5088056394992.0,-265775657006.0,-1640252631255.0,-2253725216.0,22731972844.0,2434650312379.0,909680511323.0,11928438348061.0
