row_label_raw,row_label_full,col_0,31/12/2017VND,1/1/2017VND,numeric__31/12/2017VND,numeric__1/1/2017VND
Tài sản thuế thu nhập hoãn lại:Lãi chưa thực hiện,Tài sản thuế thu nhập hoãn lại:Lãi chưa thực hiện,Tài sản thuế thu nhập hoãn lại:Lãi chưa thực hiện,94.566.406,849.578.876,94566406.0,849578876.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,14.961.488.602,2.892.538.901,14961488602.0,2892538901.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,421.630.752,427.775.463,421630752.0,427775463.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,105.779.127.070,149.488.188.587,105779127070.0,149488188587.0
Lỗ tính thuế,Lỗ tính thuế,Lỗ tính thuế,8.298.229.453,-,8298229453.0,
Chi phí khác,Chi phí khác,Chi phí khác,1.309.949.022,7.070.360.539,1309949022.0,7070360539.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,130.864.991.305,160.728.442.366,130864991305.0,160728442366.0
Thuế thu nhập hoãn lại phải trả:Tài sản cố định hữu hình,Thuế thu nhập hoãn lại phải trả:Tài sản cố định hữu hình,Thuế thu nhập hoãn lại phải trả:Tài sản cố định hữu hình,(25.048.349.322),(31.677.689.053),-25048349322.0,-31677689053.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(570.839.296.627),(618.694.173.611),-570839296627.0,-618694173611.0
Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,(595.887.645.949),(650.371.862.664),-595887645949.0,-650371862664.0
