row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,776.729.062.957,1.374.517.414.610,185.805.843.804,22.368.064.900,2.359.420.386.271,776729062957.0,1374517414610.0,185805843804.0,22368064900.0,2359420386271.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.729.609.948,58.657.453.091,9.542.212.074,766.640.636,84.695.915.749,15729609948.0,58657453091.0,9542212074.0,766640636.0,84695915749.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,155.189.062.332,26.701.026.100,4.499.000.000,-,186.389.088.432,155189062332.0,26701026100.0,4499000000.0,,186389088432.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(505.848.475),-,(505.848.475),,,-505848475.0,,-505848475.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(44.288.400),-,-,(2.322.060),(46.610.460),-44288400.0,,,-2322060.0,-46610460.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,947.603.446.837,1.459.875.893.801,199.341.207.403,23.132.383.476,2.629.952.931.517,947603446837.0,1459875893801.0,199341207403.0,23132383476.0,2629952931517.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,368.048.951.517,990.349.176.235,128.864.016.097,17.962.139.302,1.505.224.283.151,368048951517.0,990349176235.0,128864016097.0,17962139302.0,1505224283151.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,48.218.143.176,109.347.616.685,12.697.933.945,1.916.606.204,172.180.300.010,48218143176.0,109347616685.0,12697933945.0,1916606204.0,172180300010.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(505.848.475),-,(505.848.475),,,-505848475.0,,-505848475.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(14.321.040),-,-,(2.322.060),(16.643.100),-14321040.0,,,-2322060.0,-16643100.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,416.252.773.653,1.099.696.792.920,141.056.101.567,19.876.423.446,1.676.882.091.586,416252773653.0,1099696792920.0,141056101567.0,19876423446.0,1676882091586.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,408.680.111.440,384.168.238.375,56.941.827.707,4.405.925.598,854.196.103.120,408680111440.0,384168238375.0,56941827707.0,4405925598.0,854196103120.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,531.350.673.184,360.179.100.881,58.285.105.836,3.255.960.030,953.070.839.931,531350673184.0,360179100881.0,58285105836.0,3255960030.0,953070839931.0
