row_label_raw,row_label_full,col_0,2025VND,2024VND,numeric__2025VND,numeric__2024VND
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,
Bà Chu Thị Bình,Hội đồng Quản trị > Bà Chu Thị Bình,Bà Chu Thị Bình,150.000.000,150.000.000,150000000.0,150000000.0
Ông Lê Văn Quang,Hội đồng Quản trị > Ông Lê Văn Quang,Ông Lê Văn Quang,150.000.000,150.000.000,150000000.0,150000000.0
Ông Lê Văn Diệp,Hội đồng Quản trị > Ông Lê Văn Diệp,Ông Lê Văn Diệp,150.000.000,150.000.000,150000000.0,150000000.0
Ông Phan Thanh Lộc,Hội đồng Quản trị > Ông Phan Thanh Lộc,Ông Phan Thanh Lộc,300.000.000,325.000.000,300000000.0,325000000.0
Bà Hồ Thu Lê,Hội đồng Quản trị > Bà Hồ Thu Lê,Bà Hồ Thu Lê,300.000.000,325.000.000,300000000.0,325000000.0
Ông Nguyễn Nhân Nghĩa,Hội đồng Quản trị > Ông Nguyễn Nhân Nghĩa,Ông Nguyễn Nhân Nghĩa,300.000.000,325.000.000,300000000.0,325000000.0
Ông Sasaki Takahiro,Hội đồng Quản trị > Ông Sasaki Takahiro,Ông Sasaki Takahiro,300.000.000,325.000.000,300000000.0,325000000.0
Ông Suzuki Yoshiaki (từ ngày 25 tháng 6 năm 2024),Hội đồng Quản trị > Ông Suzuki Yoshiaki (từ ngày 25 tháng 6 năm 2024),Ông Suzuki Yoshiaki (từ ngày 25 tháng 6 năm 2024),200.000.000,167.916.667,200000000.0,167916667.0
Bà Lê Thị Dịu Minh (từ ngày 21 tháng 6 năm 2025),Hội đồng Quản trị > Bà Lê Thị Dịu Minh (từ ngày 21 tháng 6 năm 2025),Bà Lê Thị Dịu Minh (từ ngày 21 tháng 6 năm 2025),79.000.000,-,79000000.0,
Ông Bùi Anh Dũng (đến ngày 21 tháng 6 năm 2025),Hội đồng Quản trị > Ông Bùi Anh Dũng (đến ngày 21 tháng 6 năm 2025),Ông Bùi Anh Dũng (đến ngày 21 tháng 6 năm 2025),71.000.000,150.000.000,71000000.0,150000000.0
Ông Hamaya Harutoshi (đến ngày 25 tháng 6 năm 2024),Hội đồng Quản trị > Ông Hamaya Harutoshi (đến ngày 25 tháng 6 năm 2024),Ông Hamaya Harutoshi (đến ngày 25 tháng 6 năm 2024),-,145.000.000,,145000000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Ông Lê Văn Quang,Ban Tổng Giám đốc > Ông Lê Văn Quang,Ông Lê Văn Quang,2.862.852.276,2.876.826.346,2862852276.0,2876826346.0
Bà Chu Thị Bình,Ban Tổng Giám đốc > Bà Chu Thị Bình,Bà Chu Thị Bình,2.735.628.674,2.779.693.134,2735628674.0,2779693134.0
Ông Lê Văn Diệp,Ban Tổng Giám đốc > Ông Lê Văn Diệp,Ông Lê Văn Diệp,3.567.689.678,6.600.314.917,3567689678.0,6600314917.0
Ông Lê Ngọc Anh (từ ngày 25 tháng 6 năm 2024),Ban Tổng Giám đốc > Ông Lê Ngọc Anh (từ ngày 25 tháng 6 năm 2024),Ông Lê Ngọc Anh (từ ngày 25 tháng 6 năm 2024),1.628.216.493,2.076.704.236,1628216493.0,2076704236.0
Bà Lê Thị Dịu Minh,Ban Tổng Giám đốc > Bà Lê Thị Dịu Minh,Bà Lê Thị Dịu Minh,2.130.802.741,2.079.198.593,2130802741.0,2079198593.0
Ông Suzuki Yoshiaki (từ ngày 1 tháng 4 năm 2025),Ban Tổng Giám đốc > Ông Suzuki Yoshiaki (từ ngày 1 tháng 4 năm 2025),Ông Suzuki Yoshiaki (từ ngày 1 tháng 4 năm 2025),554.400.000,-,554400000.0,
Bà Lê Thị Minh Phú (từ ngày 8 tháng 4 năm 2025),Ban Tổng Giám đốc > Bà Lê Thị Minh Phú (từ ngày 8 tháng 4 năm 2025),Bà Lê Thị Minh Phú (từ ngày 8 tháng 4 năm 2025),3.006.811.448,-,3006811448.0,
Ông Tsunoda Norihisa (đến ngày 29 tháng 4 năm 2025),Ban Tổng Giám đốc > Ông Tsunoda Norihisa (đến ngày 29 tháng 4 năm 2025),Ông Tsunoda Norihisa (đến ngày 29 tháng 4 năm 2025),277.200.000,900.900.000,277200000.0,900900000.0
Ông Bùi Anh Dũng (đến ngày 1 tháng 4 năm 2025),Ban Tổng Giám đốc > Ông Bùi Anh Dũng (đến ngày 1 tháng 4 năm 2025),Ông Bùi Anh Dũng (đến ngày 1 tháng 4 năm 2025),2.808.172.790,2.391.646.141,2808172790.0,2391646141.0
Ông Chu Hồng Hà,Ban Tổng Giám đốc > Ông Chu Hồng Hà,Ông Chu Hồng Hà,1.523.334.856,1.998.103.178,1523334856.0,1998103178.0
