row_label_raw,row_label_full,col_0,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",1.361.447,1.325.123,1361447.0,1325123.0
Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,1.285.313,869.768,1285313.0,869768.0
▪ Thuế phải nộp cho ngân sách Nhà nước (Thuyết minh 36),▪ Thuế phải nộp cho ngân sách Nhà nước (Thuyết minh 36),▪ Thuế phải nộp cho ngân sách Nhà nước (Thuyết minh 36),67.972,8.434,67972.0,8434.0
▪ Cổ tức phải trả,▪ Cổ tức phải trả,▪ Cổ tức phải trả,4.266,4.286,4266.0,4286.0
▪ Phải trả cán bộ công nhân viên,▪ Phải trả cán bộ công nhân viên,▪ Phải trả cán bộ công nhân viên,159.709,148.651,159709.0,148651.0
"▪ Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành","▪ Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành","▪ Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành",44.624,46.297,44624.0,46297.0
▪ Các khoản chờ thanh toán,▪ Các khoản chờ thanh toán,▪ Các khoản chờ thanh toán,158.010,114.808,158010.0,114808.0
▪ Doanh thu chờ phân bổ (*),▪ Doanh thu chờ phân bổ (*),▪ Doanh thu chờ phân bổ (*),301.745,157.154,301745.0,157154.0
▪ Cổ tức nhận hộ,▪ Cổ tức nhận hộ,▪ Cổ tức nhận hộ,76.944,76.944,76944.0,76944.0
▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,▪ Các khoản phải trả khác,472.043,313.194,472043.0,313194.0
,,,2.646.760,2.194.891,2646760.0,2194891.0
