row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.952,497.370,110.707,106.536,836,744.401,28952.0,497370.0,110707.0,106536.0,836.0,744401.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,6.759,719,5.938,47,13.463,,6759.0,719.0,5938.0,47.0,13463.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(60),(47.114),(3.763),(18.882),(294),(70.113),-60.0,-47114.0,-3763.0,-18882.0,-294.0,-70113.0
Phân loại lại trong năm,Nguyên giá > Phân loại lại trong năm,Phân loại lại trong năm,-,(70),-,70,-,-,,-70.0,,70.0,,
Tăng/giảm do nguyên nhân khác,Nguyên giá > Tăng/giảm do nguyên nhân khác,Tăng/giảm do nguyên nhân khác,-,7.666,(339),5.195,-,12.522,,7666.0,-339.0,5195.0,,12522.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.892,464.611,107.324,98.857,589,700.273,28892.0,464611.0,107324.0,98857.0,589.0,700273.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.948,405.339,75.921,89.162,775,583.145,11948.0,405339.0,75921.0,89162.0,775.0,583145.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,586,28.803,8.198,8.637,32,46.256,586.0,28803.0,8198.0,8637.0,32.0,46256.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(18),(46.608),(3.763),(18.686),(294),(69.369),-18.0,-46608.0,-3763.0,-18686.0,-294.0,-69369.0
Phân loại lại trong năm,Giá trị hao mòn lũy kế > Phân loại lại trong năm,Phân loại lại trong năm,-,(6),-,6,-,-,,-6.0,,6.0,,
Tăng do nguyên nhân khác,Giá trị hao mòn lũy kế > Tăng do nguyên nhân khác,Tăng do nguyên nhân khác,-,7.100,-,5.232,-,12.332,,7100.0,,5232.0,,12332.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,12.516,394.628,80.356,84.351,513,572.364,12516.0,394628.0,80356.0,84351.0,513.0,572364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,17.004,92.031,34.786,17.374,61,161.256,17004.0,92031.0,34786.0,17374.0,61.0,161256.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,16.376,69.983,26.968,14.506,76,127.909,16376.0,69983.0,26968.0,14506.0,76.0,127909.0
