row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,31/12/2015Triệu VND,1/1/2015Triệu VND,31/12/2015Triệu VND,1/1/2015Triệu VND,,,,
Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,Công cụ chịu lãi suất cố định,,,,
Các khoản tương đương tiền,Công cụ chịu lãi suất cố định > Các khoản tương đương tiền,Các khoản tương đương tiền,7.405.820,4.863.445,1.085.890,507.350,7405820.0,4863445.0,1085890.0,507350.0
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Công cụ chịu lãi suất cố định > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,293.990,4.042.212,287.890,239.614,293990.0,4042212.0,287890.0,239614.0
Phải thu ngắn hạn về cho vay từ các công ty con,Công cụ chịu lãi suất cố định > Phải thu ngắn hạn về cho vay từ các công ty con,Phải thu ngắn hạn về cho vay từ các công ty con,762.400,-,-,2.172.320,762400.0,,,2172320.0
Phải thu dài hạn về cho vay từ một bên thứ ba,Công cụ chịu lãi suất cố định > Phải thu dài hạn về cho vay từ một bên thứ ba,Phải thu dài hạn về cho vay từ một bên thứ ba,8.563.114,-,-,-,8563114.0,,,
Phải thu dài hạn về cho vay từ các công ty con,Công cụ chịu lãi suất cố định > Phải thu dài hạn về cho vay từ các công ty con,Phải thu dài hạn về cho vay từ các công ty con,-,-,4.773.374,2.283.927,,,4773374.0,2283927.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Công cụ chịu lãi suất cố định > Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,-,144.050,-,-,,144050.0,,
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Công cụ chịu lãi suất cố định > Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",(4.227.547),(3.568.345),-,-,-4227547.0,-3568345.0,,
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Công cụ chịu lãi suất cố định > Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",(8.984.294),(2.667.960),(6.844.842),(567.960),-8984294.0,-2667960.0,-6844842.0,-567960.0
,,,3.813.483,2.813.402,(697.688),4.635.251,3813483.0,2813402.0,-697688.0,4635251.0
Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,Công cụ chịu lãi suất đã nồi,,,,
Tiền gửi ngân hàng,Công cụ chịu lãi suất đã nồi > Tiền gửi ngân hàng,Tiền gửi ngân hàng,909.225,301.538,17.619,9.777,909225.0,301538.0,17619.0,9777.0
"Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Công cụ chịu lãi suất đã nồi > Vay, trái phiếu và nợ thuê tài chính ngắn hạn","Vay, trái phiếu và nợ thuê tài chính ngắn hạn",(1.074.943),(1.761.626),-,-,-1074943.0,-1761626.0,,
"Vay, trái phiếu và nợ thuê tài chính dài hạn","Công cụ chịu lãi suất đã nồi > Vay, trái phiếu và nợ thuê tài chính dài hạn","Vay, trái phiếu và nợ thuê tài chính dài hạn",(21.761.867),(15.566.317),-,(4.700.000),-21761867.0,-15566317.0,,-4700000.0
,,,(21.927.585),(17.026.405),17.619,(4.690.223),-21927585.0,-17026405.0,17619.0,-4690223.0
