row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,31/12/2018Nghìn VND,1/1/2018Nghìn VND,31/12/2018Nghìn VND,1/1/2018Nghìn VND,,,,
Tiền thường,Tiền thường,Tiền thường,83.288.151,50.729.204,-,-,83288151.0,50729204.0,,
Tiền lãi vay phải trả,Tiền lãi vay phải trả,Tiền lãi vay phải trả,280.911.923,314.419.346,40.619.178,-,280911923.0,314419346.0,40619178.0,
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,6.486.066,2.264.974,-,-,6486066.0,2264974.0,,
Thuế và phí tài nguyên,Thuế và phí tài nguyên,Thuế và phí tài nguyên,10.034.090,145.839.605,-,-,10034090.0,145839605.0,,
Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,80.589.745,57.969.060,-,-,80589745.0,57969060.0,,
Phí tư vấn,Phí tư vấn,Phí tư vấn,2.238.200,1.126.242,-,-,2238200.0,1126242.0,,
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,271.254.527,214.477.204,-,-,271254527.0,214477204.0,,
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,5.943,1.380.829,395.100,424.490,5943.0,1380829.0,395100.0,424490.0
,,,734.808.645,788.206.464,41.014.278,424.490,734808645.0,788206464.0,41014278.0,424490.0
