row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2020Nghìn VND,2019Nghìn VND,numeric__Bản chất của giao dịch,numeric__2020Nghìn VND,numeric__2019Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Lãi trái phiếu,-,89.829.756,,,89829756.0
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Bù trừ khoản phải trả MSN và khoản phải thu NPM,-,541.074.175,,,541074175.0
Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),,,,,,
Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,Bên liên quan của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu,11.635.249,6.052.234,,11635249.0,6052234.0
TCB và các công ty con,Bên liên quan của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Tiền thu được từ phát hành trái phiếu (i),-,500.000.000,,,500000000.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH MTV Tài,Các công ty con > Công ty TNHH MTV Tài,Công ty TNHH MTV Tài,Góp vốn,2.701.705.929,4.314.434.887,,2701705929.0,4314434887.0
Nguyên Masan Thái Nguyên,Các công ty con > Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,Thu hồi khoản phải thu về cho vay dài hạn,-,3.945.518.100,,,3945518100.0
Nguyên Masan Thái Nguyên,Các công ty con > Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,Thu hồi chi phí tài chính,-,368.916.787,,,368916787.0
Nguyên Masan Thái Nguyên,Các công ty con > Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,Phân phối lợi nhuận,-,657.409.101,,,657409101.0
Nguyên Masan Thái Nguyên,Các công ty con > Nguyên Masan Thái Nguyên,Nguyên Masan Thái Nguyên,Chuyển khoản phải thu NPM sang khoản phải thu MRTN,-,368.916.787,,,368916787.0
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,204.566.817,182.341.639,,204566817.0,182341639.0
Chế biển Khoáng sản,Các công ty con > Chế biển Khoáng sản,Chế biển Khoáng sản,Góp vốn cho HĐHTKD,-,500.000.000,,,500000000.0
Núi Pháo (“NPM”),Các công ty con > Núi Pháo (“NPM”),Núi Pháo (“NPM”),Chuyển khoản phải thu NPM sang khoản phải thu MRTN,-,368.916.787,,,368916787.0
Núi Pháo (“NPM”),Các công ty con > Núi Pháo (“NPM”),Núi Pháo (“NPM”),Bù trừ khoản phải thu NPM và khoản phải trả MSN,-,541.074.175,,,541074175.0
Công ty TNHH Vonfram Masan,Các công ty con > Công ty TNHH Vonfram Masan,Công ty TNHH Vonfram Masan,Phân chia lợi nhuận từ HĐHTKD,101.745.371,101.467.379,,101745371.0,101467379.0
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",25.157.139,31.123.186,,25157139.0,31123186.0
