row_label_raw,row_label_full,col_0,Đất Nghìn VND,Phần mềm máy vi tính Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Chi phí triển khai (*) Nghìn VND,Tên thương hiệu Nghìn VND,Quan hệ với khách hàng Nghìn VND,Công nghệ Nghìn VND,Tài sản cố định vô hình khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Đất Nghìn VND,numeric__Phần mềm máy vi tính Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Chi phí triển khai (*) Nghìn VND,numeric__Tên thương hiệu Nghìn VND,numeric__Quan hệ với khách hàng Nghìn VND,numeric__Công nghệ Nghìn VND,numeric__Tài sản cố định vô hình khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,71.973.549,424.817.716,588.370.818,685.832.537,1.120.478.861,230.117.249,1.545.588.076,26.485.360,4.693.664.166,71973549.0,424817716.0,588370818.0,685832537.0,1120478861.0,230117249.0,1545588076.0,26485360.0,4693664166.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.786.218,204.284.393,-,-,-,-,-,206.070.611,,1786218.0,204284393.0,,,,,,206070611.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 14),-,3.717.151,-,-,-,-,-,-,3.717.151,,3717151.0,,,,,,,3717151.0
Phân loại lại sang bắt động sản đầu tư (Thuyết minh 13),Nguyên giá > Phân loại lại sang bắt động sản đầu tư (Thuyết minh 13),Phân loại lại sang bắt động sản đầu tư (Thuyết minh 13),(37.535.619),-,-,-,-,-,-,-,(37.535.619),-37535619.0,,,,,,,,-37535619.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(2.757.450),(29.039.864),-,(63.707.482),(104.082.094),(21.375.758),(143.570.797),(969.745),(365.503.190),-2757450.0,-29039864.0,,-63707482.0,-104082094.0,-21375758.0,-143570797.0,-969745.0,-365503190.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,31.680.480,401.281.221,792.655.211,622.125.055,1.016.396.767,208.741.491,1.402.017.279,25.515.615,4.500.413.119,31680480.0,401281221.0,792655211.0,622125055.0,1016396767.0,208741491.0,1402017279.0,25515615.0,4500413119.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,383.865.326,188.670.686,89.794.389,22.316.296,3.791.608,44.077.926,3.228.536,735.744.767,,383865326.0,188670686.0,89794389.0,22316296.0,3791608.0,44077926.0,3228536.0,735744767.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,19.933.985,47.063.729,42.598.930,36.595.677,6.295.853,73.190.095,1.876.830,227.555.099,,19933985.0,47063729.0,42598930.0,36595677.0,6295853.0,73190095.0,1876830.0,227555099.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,(27.736.818),-,(10.996.472),(4.821.220),(781.787),(9.088.377),(189.483),(53.614.157),,-27736818.0,,-10996472.0,-4821220.0,-781787.0,-9088377.0,-189483.0,-53614157.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,376.062.493,235.734.415,121.396.847,54.090.753,9.305.674,108.179.644,4.915.883,909.685.709,,376062493.0,235734415.0,121396847.0,54090753.0,9305674.0,108179644.0,4915883.0,909685709.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,71.973.549,40.952.390,399.700.132,596.038.148,1.098.162.565,226.325.641,1.501.510.150,23.256.824,3.957.919.399,71973549.0,40952390.0,399700132.0,596038148.0,1098162565.0,226325641.0,1501510150.0,23256824.0,3957919399.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,31.680.480,25.218.728,556.920.796,500.728.208,962.306.014,199.435.817,1.293.837.635,20.599.732,3.590.727.410,31680480.0,25218728.0,556920796.0,500728208.0,962306014.0,199435817.0,1293837635.0,20599732.0,3590727410.0
