row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2023 Nghìn VND,1/1/2023 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 Nghìn VND,numeric__1/1/2023 Nghìn VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,3.117.172.705,3.106.878.067,300.0,,3117172705.0,3106878067.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,1.617.172.705,1.606.878.067,310.0,,1617172705.0,1606878067.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,2.464.030,7.988.080,311.0,,2464030.0,7988080.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,,125.030,202.027,313.0,,125030.0,202027.0
Chỉ phí phải trả ngắn hạn,NGUỒN VỐN > Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,9,61.376.800,54.836.678,315.0,9.0,61376800.0,54836678.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,10,27.006.845,22.651.282,319.0,10.0,27006845.0,22651282.0
Vay và trái phiếu phát hành ngắn hạn,NGUỒN VỐN > Vay và trái phiếu phát hành ngắn hạn,Vay và trái phiếu phát hành ngắn hạn,320,11(a),1.526.200.000,1.521.200.000,320.0,,1526200000.0,1521200000.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,1.500.000.000,1.500.000.000,330.0,,1500000000.0,1500000000.0
Trái phiếu phát hành dài hạn,NGUỒN VỐN > Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,338,11(b),1.500.000.000,1.500.000.000,338.0,,1500000000.0,1500000000.0
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,12.158.705.150,12.158.346.129,400.0,,12158705150.0,12158346129.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,12,12.158.705.150,12.158.346.129,410.0,12.0,12158705150.0,12158346129.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,13,10.991.554.200,10.991.554.200,411.0,13.0,10991554200.0,10991554200.0
- Cổ phiếu phố thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phố thông có quyền biểu quyết,- Cổ phiếu phố thông có quyền biểu quyết,411a,,10.991.554.200,10.991.554.200,,,10991554200.0,10991554200.0
Thăng dư vốn cổ phần,NGUỒN VỐN > Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,412,13,1.098.259.892,1.098.259.892,412.0,13.0,1098259892.0,1098259892.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,68.891.058,68.532.037,421.0,,68891058.0,68532037.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,68.532.037,67.820.861,,,68532037.0,67820861.0
- LNST năm nay,NGUỒN VỐN > - LNST năm nay,- LNST năm nay,421b,,359.021,711.176,,,359021.0,711176.0
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,15.275.877.855,15.265.224.196,440.0,,15275877855.0,15265224196.0
