row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,42.593.158.815.096,30.549.190.106.022,,,42593158815096.0,30549190106022.0
310,310,310,I. Nợ ngắn hạn,,42.593.158.815.096,29.422.513.439.369,,,42593158815096.0,29422513439369.0
311,311,311,1. Phải trả người bán ngắn hạn,18,12.179.774.771.734,8.728.168.862.341,,18.0,12179774771734.0,8728168862341.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,98.379.250.626,86.907.353.149,,,98379250626.0,86907353149.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,19,696.559.033.545,634.917.868.176,,19.0,696559033545.0,634917868176.0
314,314,314,4. Phải trả người lao động,,531.987.432.339,533.572.319.767,,,531987432339.0,533572319767.0
315,315,315,5. Chi phí phải trả ngắn hạn,20,3.885.356.381.233,3.191.005.394.514,,20.0,3885356381233.0,3191005394514.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,-,308.408.475,,,,308408475.0
319,319,319,7. Phải trả ngắn hạn khác,21,476.319.936.603,546.045.423.865,,21.0,476319936603.0,546045423865.0
320,320,320,8. Vay ngắn hạn,22,24.647.474.278.786,15.625.180.321.924,,22.0,24647474278786.0,15625180321924.0
321,321,321,9. Dự phòng phải trả ngắn hạn,,77.277.612.477,76.377.369.405,,,77277612477.0,76377369405.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",,30.117.753,30.117.753,,,30117753.0,30117753.0
330,330,330,II. Nợ dài hạn,,-,1.126.676.666.653,,,,1126676666653.0
338,338,338,1. Vay dài hạn,22,-,1.126.676.666.653,,22.0,,1126676666653.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,20.378.245.999.846,15.481.689.846.432,,,20378245999846.0,15481689846432.0
410,410,410,I. Vốn chủ sở hữu,,20.378.245.999.846,15.481.689.846.432,,,20378245999846.0,15481689846432.0
411,411,411,1. Vốn cổ phần,23.1,7.130.654.950.000,4.532.099.870.000,,231.0,7130654950000.0,4532099870000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.130.654.950.000,4.532.099.870.000,,,7130654950000.0,4532099870000.0
412,412,412,2. Thặng dư vốn cổ phần,23.1,558.110.430.986,558.110.430.986,,231.0,558110430986.0,558110430986.0
415,415,415,3. Cổ phiếu quỹ,23.1,(2.320.000.000),(6.040.930.000),,231.0,-2320000000.0,-6040930000.0
417,417,417,4. Chênh lệch tỷ giá hối đoái,23.1,5.388.425.299,(1.443.756.225),,231.0,5388425299.0,-1443756225.0
421,421,421,5. Lợi nhuận sau thuế chưa phân phối,23.1,12.674.574.164.065,10.389.683.597.845,,231.0,12674574164065.0,10389683597845.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,,7.775.704.885.845,6.470.785.320.602,,,7775704885845.0,6470785320602.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,4.898.869.278.220,3.918.898.277.243,,,4898869278220.0,3918898277243.0
429,429,429,6. Lợi ích cổ đông không kiểm soát,,11.838.029.496,9.280.633.826,,,11838029496.0,9280633826.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,62.971.404.814.942,46.030.879.952.454,,,62971404814942.0,46030879952454.0
