row_label_raw,row_label_full,Tiền mặt và vàng
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp
"Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp"
Tài sản cố định,Tài sản cố định,Tài sản cố định
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN
Việt Nam,Việt Nam,Việt Nam
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
Các công cụ tài chính phải sinh và nợ phải trả khác,Các công cụ tài chính phải sinh và nợ phải trả khác,Các công cụ tài chính phải sinh và nợ phải trả khác
"Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay TCTD chịu rủi ro"
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng
