row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đếnngày đáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đếnngày đáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.231.315,-,-,1.231.315,1.231.315,,,1231315.0,,,1231315.0,1231315.0
Tiền gửi tại NHNN Việt Nam,Tài sản tài chính > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,13.719.544,-,-,13.719.544,13.719.544,,,13719544.0,,,13719544.0,13719544.0
Tiền gửi tại và cho vay cácTCTD khác,Tài sản tài chính > Tiền gửi tại và cho vay cácTCTD khác,Tiền gửi tại và cho vay cácTCTD khác,-,-,155.203.142,-,-,155.203.142,(*),,,155203142.0,,,155203142.0,
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,21.781,-,-,-,-,21.781,(*),21781.0,,,,,21781.0,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,195.333.034,-,-,195.333.034,(*),,,195333034.0,,,195333034.0,
Hoạt động mua nợ,Tài sản tài chính > Hoạt động mua nợ,Hoạt động mua nợ,-,-,629.595,-,-,629.595,(*),,,629595.0,,,629595.0,
Chứng khoán đầu tư,Tài sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,8.841.421,-,31.230.437,-,40.071.858,(*),,8841421.0,,31230437.0,,40071858.0,
"Góp vốn, đầu tư dài hạn","Tài sản tài chính > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,120.805,-,120.805,(*),,,,120805.0,,120805.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,8.194.038,-,-,8.194.038,(*),,,8194038.0,,,8194038.0,
,,,21.781,8.841.421,374.310.668,31.351.242,-,414.525.112,,21781.0,8841421.0,374310668.0,31351242.0,,414525112.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Các khoản nợ Chính phủ vàNHNN Việt Nam,Nợ phải trả tài chính > Các khoản nợ Chính phủ vàNHNN Việt Nam,Các khoản nợ Chính phủ vàNHNN Việt Nam,-,-,-,-,18.028.593,18.028.593,(*),,,,,18028593.0,18028593.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,157.154.091,157.154.091,(*),,,,,157154091.0,157154091.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,177.810.693,177.810.693,(*),,,,,177810693.0,177810693.0,
"Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư,cho vay TCTD chịu rủi ro",-,-,-,-,2.412.358,2.412.358,(*),,,,,2412358.0,2412358.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,33.308.090,33.308.090,(*),,,,,33308090.0,33308090.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,5.290.809,5.290.809,(*),,,,,5290809.0,5290809.0,
,,,-,-,-,-,394.004.634,394.004.634,,,,,,394004634.0,394004634.0,
