row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
5.1. Ngắn hạn,5.1. Ngắn hạn,5.1. Ngắn hạn,5.1. Ngắn hạn,5.1. Ngắn hạn,5.1. Ngắn hạn,5.1. Ngắn hạn,,,,
- Tạm ứng,5.1. Ngắn hạn > - Tạm ứng,- Tạm ứng,1.248.095.078,-,1.118.275.785,-,1248095078.0,,1118275785.0,
+ Nhân viên,5.1. Ngắn hạn > + Nhân viên,+ Nhân viên,1.248.095.078,-,1.118.275.785,-,1248095078.0,,1118275785.0,
"- Ký cược, ký quỹ","5.1. Ngắn hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",7.181.384.000,-,147.218.800,-,7181384000.0,,147218800.0,
Ký quỹ VND,5.1. Ngắn hạn > Ký quỹ VND,Ký quỹ VND,3.000.000,-,3.000.000,-,3000000.0,,3000000.0,
Ký quỹ ngoại tệ (USD),5.1. Ngắn hạn > Ký quỹ ngoại tệ (USD),Ký quỹ ngoại tệ (USD),7.178.384.000,-,144.218.800,-,7178384000.0,,144218800.0,
- Phải thu khác,5.1. Ngắn hạn > - Phải thu khác,- Phải thu khác,1.843.564.986,,2.315.851.530,,1843564986.0,,2315851530.0,
+ Công ty LD Thép Nam Kim,5.1. Ngắn hạn > + Công ty LD Thép Nam Kim,+ Công ty LD Thép Nam Kim,1.776.134.439,-,2.276.134.439,,1776134439.0,,2276134439.0,
"+ Bảo hiểm xã hội, thất nghiệp","5.1. Ngắn hạn > + Bảo hiểm xã hội, thất nghiệp","+ Bảo hiểm xã hội, thất nghiệp",851.715,-,6.138.259,,851715.0,,6138259.0,
+ Khác,5.1. Ngắn hạn > + Khác,+ Khác,66.578.832,-,33.578.832,,66578832.0,,33578832.0,
Cộng,5.1. Ngắn hạn > Cộng,Cộng,10.273.044.064,-,3.581.346.115,,10273044064.0,,3581346115.0,
5.2. Dài hạn,5.2. Dài hạn,5.2. Dài hạn,5.2. Dài hạn,5.2. Dài hạn,5.2. Dài hạn,5.2. Dài hạn,,,,
"- Ký cược, ký quỹ","5.2. Dài hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",276.299.965,-,-,-,276299965.0,,,
Ký quỹ VND,Ký quỹ VND,Ký quỹ VND,-,-,-,-,,,,
Ký quỹ ngoại tệ (USD),Ký quỹ VND > Ký quỹ ngoại tệ (USD),Ký quỹ ngoại tệ (USD),276.299.965,-,-,-,276299965.0,,,
Cộng,Ký quỹ VND > Cộng,Cộng,276.299.965,-,-,-,276299965.0,,,
