row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2020 VND,Tại ngày 31 tháng 12 năm > 2019 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2020 VND,numeric__Tại ngày 31 tháng 12 năm > 2019 VND
300,300,300,NỘ PHẢI TRẢ,,4.513.517.489.464,4.956.186.377.506,,,4513517489464.0,4956186377506.0
310,310,310,Nợ ngắn hạn,,4.055.066.033.397,4.306.624.925.443,,,4055066033397.0,4306624925443.0
311,311,311,Phải trả người bán ngắn hạn,12,1.064.438.826.487,1.815.680.178.481,,12.0,1064438826487.0,1815680178481.0
312,312,312,Người mua trả tiền trước ngắn hạn,13,344.206.243.641,46.003.223.702,,13.0,344206243641.0,46003223702.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,15,50.680.793.010,758.814.883,,15.0,50680793010.0,758814883.0
314,314,314,Phải trả người lao động,,35.714.830.793,15.484.184.104,,,35714830793.0,15484184104.0
315,315,315,Chỉ phí phải trả ngắn hạn,14,27.789.129.071,10.509.320.038,,14.0,27789129071.0,10509320038.0
319,319,319,Phải trả ngắn hạn khác,,1.017.428.026,9.666.813.505,,,1017428026.0,9666813505.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,16(a),2.490.223.845.024,2.359.037.474.819,,,2490223845024.0,2359037474819.0
322,322,322,"Quỹ khen thưởng, phúc lợi",17,40.994.937.345,49.484.915.911,,17.0,40994937345.0,49484915911.0
330,330,330,Nợ dài hạn,,458.451.456.067,649.561.452.063,,,458451456067.0,649561452063.0
337,337,337,Phải trả dài hạn khác,,900.000.000,900.000.000,,,900000000.0,900000000.0
338,338,338,Vay và nợ thuê tài chính dài hạn,"16(b), 16(c)",457.551.456.067,648.661.452.063,,,457551456067.0,648661452063.0
400,400,400,VỐN CHỦ SỞ HỮU,,3.136.608.734.384,3.020.442.369.043,,,3136608734384.0,3020442369043.0
410,410,410,Vốn chủ sở hữu,,3.136.608.734.384,3.020.442.369.043,,,3136608734384.0,3020442369043.0
411,411,411,Vốn góp của chủ sở hữu,"18, 19",1.819.998.680.000,1.819.998.680.000,,,1819998680000.0,1819998680000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.819.998.680.000,1.819.998.680.000,,,1819998680000.0,1819998680000.0
412,412,412,Thặng dư vốn cổ phần,19,766.255.590.000,766.255.590.000,,19.0,766255590000.0,766255590000.0
415,415,415,Cổ phiếu quỹ,19,(78.043.577.721),-,,19.0,-78043577721.0,
418,418,418,Quỹ đầu tư phát triển,19,59.804.428.330,38.504.256.821,,19.0,59804428330.0,38504256821.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,19,36.681.287.204,35.734.612.915,,19.0,36681287204.0,35734612915.0
421,421,421,Lợi nhuận sau thuế (“LNST”) chưa phân phối,19,531.912.326.571,359.949.229.307,,19.0,531912326571.0,359949229307.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,336.282.372.075,268.424.887.957,,,336282372075.0,268424887957.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,195.629.954.496,91.524.341.350,,,195629954496.0,91524341350.0
440,440,440,TỔNG NGUỒN VỐN,,7.650.126.223.848,7.976.628.746.549,,,7650126223848.0,7976628746549.0
