row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,Các khoản chi phí bán hàng,,
Chi phí tư vấn,Các khoản chi phí bán hàng > Chi phí tư vấn,Chi phí tư vấn,7.360.745.733,1.782.314.455,7360745733.0,1782314455.0
"Chi phí tiếp thị, nhà mẫu","Các khoản chi phí bán hàng > Chi phí tiếp thị, nhà mẫu","Chi phí tiếp thị, nhà mẫu",6.804.774.269,2.208.504.654,6804774269.0,2208504654.0
Chi phí nhân viên,Các khoản chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,5.432.928.979,2.899.583.982,5432928979.0,2899583982.0
Chi phí hỗ trợ lãi suất,Các khoản chi phí bán hàng > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,15.963.160,4.103.352.189,15963160.0,4103352189.0
Chi phí hoa hồng bán hàng,Các khoản chi phí bán hàng > Chi phí hoa hồng bán hàng,Chi phí hoa hồng bán hàng,-,8.589.182.364,,8589182364.0
Chi phí bán hàng khác,Các khoản chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,2.475.366.169,4.986.628.760,2475366169.0,4986628760.0
,,,22.089.778.310,24.569.566.404,22089778310.0,24569566404.0
Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,Các khoản chi phí quản lý doanh nghiệp,,
Chi phí lương nhân viên,Các khoản chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,90.056.337.040,77.930.115.326,90056337040.0,77930115326.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,22.951.314.681,12.771.621.905,22951314681.0,12771621905.0
Chi phí đi thuê,Các khoản chi phí quản lý doanh nghiệp > Chi phí đi thuê,Chi phí đi thuê,8.743.974.413,8.210.688.756,8743974413.0,8210688756.0
Chi phí khấu hao,Các khoản chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,896.305.983,1.040.607.076,896305983.0,1040607076.0
Chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,17.247.734.834,13.006.253.476,17247734834.0,13006253476.0
,,,139.895.666.951,112.959.286.539,139895666951.0,112959286539.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,161.985.445.261,137.528.852.943,161985445261.0,137528852943.0
