row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
10,10,10,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,23.1,854.349.358.534,2.257.240.295.514,,231.0,854349358534.0,2257240295514.0
11,11,11,2. Giá vốn hàng bán và dịch vụ cung cấp,24,(507.756.110.166),(1.410.721.974.662),,24.0,-507756110166.0,-1410721974662.0
20,20,20,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,346.593.248.368,846.518.320.852,,,346593248368.0,846518320852.0
21,21,21,4. Doanh thu hoạt động tài chính,23.2,648.602.255.516,961.532.615.139,,232.0,648602255516.0,961532615139.0
22,22,22,5. Chi phí tài chính- Trong đó: Chi phí lãi vay,25,(546.838.632.225)(411.086.699.653),(490.700.276.234)(313.236.598.560),,25.0,,
23,23,23,5. Chi phí tài chính- Trong đó: Chi phí lãi vay,25,(546.838.632.225)(411.086.699.653),(490.700.276.234)(313.236.598.560),,25.0,,
25,25,25,6. Chi phí bán hàng,26,(47.790.902.234),(127.762.074.797),,26.0,-47790902234.0,-127762074797.0
26,26,26,7. Chi phí quản lý doanh nghiệp,26,(447.859.710.178),(492.194.551.615),,26.0,-447859710178.0,-492194551615.0
30,30,30,8. (Lỗ) lợi nhuận thuần từ hoạt động kinh doanh,,(47.293.740.753),697.394.033.345,,,-47293740753.0,697394033345.0
31,31,31,9. Thu nhập khác,,6.829.813.552,8.046.744.708,,,6829813552.0,8046744708.0
32,32,32,10. Chi phí khác,,(11.799.763.857),(8.971.550.672),,,-11799763857.0,-8971550672.0
40,40,40,11. Lỗ khác,,(4.969.950.305),(924.805.964),,,-4969950305.0,-924805964.0
50,50,50,12. Tổng (lỗ) lợi nhuận kế toán trước thuế,,(52.263.691.058),696.469.227.381,,,-52263691058.0,696469227381.0
51,51,51,13. Chi phí thuế TNDN hiện hành,27.1,(4.304.809.468),(33.342.901.088),,271.0,-4304809468.0,-33342901088.0
52,52,52,14. Thu nhập thuế TNDN hoãn lại,27.3,59.557.034.248,1.600.583.503,,273.0,59557034248.0,1600583503.0
60,60,60,15. Lợi nhuận sau thuế TNDN,,2.988.533.722,664.726.909.796,,,2988533722.0,664726909796.0
