row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Trên 1 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,296.645,-,-,-,-,296.645,,,296645.0,,,,,296645.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.507.305,-,-,-,-,3.507.305,,,3507305.0,,,,,3507305.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,15.073.929,-,-,-,-,15.073.929,,,15073929.0,,,,,15073929.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),399.355,10.209.200,1.728.549,6.434.186,14.940.488,24.309.029,13.153.913,71.174.720,399355.0,10209200.0,1728549.0,6434186.0,14940488.0,24309029.0,13153913.0,71174720.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,31.554,-,-,3.223.704,12.290.610,3.329.925,18.875.793,,31554.0,,,3223704.0,12290610.0,3329925.0,18875793.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,719.600,719.600,,,,,,,719600.0,719600.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,922.110,922.110,,,,,,,922110.0,922110.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,-,168.313,73.990,2.068.333,2.063.225,6.936.354,11.310.215,,,168313.0,73990.0,2068333.0,2063225.0,6936354.0,11310215.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,399.355,10.240.754,20.774.741,6.508.176,20.232.525,38.662.864,25.061.902,121.880.317,399355.0,10240754.0,20774741.0,6508176.0,20232525.0,38662864.0,25061902.0,121880317.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,10.036.450,-,-,-,-,10.036.450,,,10036450.0,,,,,10036450.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,18.508.944,12.492.980,25.212.153,39.902.556,553,96.117.186,,,18508944.0,12492980.0,25212153.0,39902556.0,553.0,96117186.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,21.763,29.177,35.373,-,-,86.313,,,21763.0,29177.0,35373.0,,,86313.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,11.150,11.150,,,,,,,11150.0,11150.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,203.700,2.550.587,1.550.356,4.304.643,,,,,203700.0,2550587.0,1550356.0,4304643.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.000.914,377.242,444.243,24.029,3.700,1.850.128,,,1000914.0,377242.0,444243.0,24029.0,3700.0,1850128.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,29.568.071,12.899.399,25.895.469,42.477.172,1.565.759,112.405.870,,,29568071.0,12899399.0,25895469.0,42477172.0,1565759.0,112405870.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,399.355,10.240.754,(8.793.330),(6.391.223),(5.662.944),(3.814.308),23.496.143,9.474.447,399355.0,10240754.0,-8793330.0,-6391223.0,-5662944.0,-3814308.0,23496143.0,9474447.0
