row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,31.12.2018,31.12.2018_1,31.12.2017,31.12.2017_1,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động kinh doanh chính,numeric__31.12.2018,numeric__31.12.2018_1,numeric__31.12.2017,numeric__31.12.2017_1
STT,STT,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,Quyền sở hữu (%),Quyền biểu quyết (%),Quyền sở hữu (%),Quyền biểu quyết (%),,,,,,,
I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,I - Công ty con,,,,,,,
1,I - Công ty con > 1,1,Công ty Cổ phần Đầu tư Địa ốc No Va,TP Hồ Chí Minh,Kinh doanh bất động sản,"91,76","91,76","91,76","91,76",,,,91.76,91.76,91.76,91.76
2,I - Công ty con > 2,2,Công ty TNHH No Va Thảo Điền,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,98","99,98","99,99","99,99",,,,99.98,99.98,99.99,99.99
3,I - Công ty con > 3,3,Công ty Cổ phần Nova Festival,TP Hồ Chí Minh,Kinh doanh bất động sản,"94,02","94,02","94,02","94,02",,,,94.02,94.02,94.02,94.02
4,I - Công ty con > 4,4,Công ty TNHH Một Thành viên Địa ốc No Va,TP Hồ Chí Minh,Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
5,I - Công ty con > 5,5,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,99","99,99","99,99","99,99",,,,99.99,99.99,99.99,99.99
6,I - Công ty con > 6,6,Công ty Cổ phần Phát triển Nhà ở và Hạ tầng Sài Gòn,TP Hồ Chí Minh,Kinh doanh bất động sản,"98,00","98,00","98,00","98,00",,,,98.0,98.0,98.0,98.0
7,I - Công ty con > 7,7,Công ty TNHH No Va Lucky Palace,TP Hồ Chí Minh,Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
8,I - Công ty con > 8,8,Công ty Cổ phần The Prince Residence,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,81","99,81","99,81","99,81",,,,99.81,99.81,99.81,99.81
9,I - Công ty con > 9,9,Công ty Cổ phần Địa ốc Thành Nhơn,TP Hồ Chí Minh,Kinh doanh bất động sản,"99,72","99,72","99,11","99,12",,,,99.72,99.72,99.11,99.12
10,I - Công ty con > 10,10,Công ty TNHH Nova Sagel,TP Hồ Chí Minh,Kinh doanh bất động sản,"83,81","83,81","73,99","74,00",,,,83.81,83.81,73.99,74.0
11,I - Công ty con > 11,11,Công ty TNHH Một Thành viên Novaland Agent,TP Hồ Chí Minh,Kinh doanh bất động sản,"100,00","100,00","100,00","100,00",,,,100.0,100.0,100.0,100.0
