row_label_raw,row_label_full,col_0,31.12.2019VND,31.12.2018VND,numeric__31.12.2019VND,numeric__31.12.2018VND
Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,,
Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (i),Vay ngân hạn > Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (i),Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (i),224.711.513.310,226.342.014.763,224711513310.0,226342014763.0
Ngân Hàng Industrial and Commercial Bank of China Limited - Chi Nhánh Thành phố Hà Nội (ii),Vay ngân hạn > Ngân Hàng Industrial and Commercial Bank of China Limited - Chi Nhánh Thành phố Hà Nội (ii),Ngân Hàng Industrial and Commercial Bank of China Limited - Chi Nhánh Thành phố Hà Nội (ii),118.000.000.000,-,118000000000.0,
Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),Vay ngân hạn > Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),67.375.000.000,48.125.000.000,67375000000.0,48125000000.0
Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),Vay ngân hạn > Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),33.171.427.908,-,33171427908.0,
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland,Vay ngân hạn > Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland,Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland,-,313.807.500.000,,313807500000.0
Maybank International Labuan Branch,Vay ngân hạn > Maybank International Labuan Branch,Maybank International Labuan Branch,-,188.284.500.000,,188284500000.0
"The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch","Vay ngân hạn > The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch","The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch",-,62.761.500.000,,62761500000.0
"Chailease International Financial Services Co., Ltd","Vay ngân hạn > Chailease International Financial Services Co., Ltd","Chailease International Financial Services Co., Ltd",-,41.841.000.000,,41841000000.0
Ngân hàng Malayan Banking Behard– Chi nhánh Thành phố Hồ Chí Minh,Vay ngân hạn > Ngân hàng Malayan Banking Behard– Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Malayan Banking Behard– Chi nhánh Thành phố Hồ Chí Minh,-,20.016.000.000,,20016000000.0
,,,443.257.941.218,901.177.514.763,443257941218.0,901177514763.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),Vay dài hạn > Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),673.380.000.000,-,673380000000.0,
Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),Vay dài hạn > Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),Deutsche Investition Und Entwicklung Gsgesellschaft MBH (v),431.228.572.092,-,431228572092.0,
Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),Vay dài hạn > Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),Ngân hàng TMCP Kiên Long – Chi nhánh Sài Gòn (iii),250.250.000.000,317.625.000.000,250250000000.0,317625000000.0
Ngân hàng TMCP Công thương Việt Nam- Chi nhánh 1 (iv),Vay dài hạn > Ngân hàng TMCP Công thương Việt Nam- Chi nhánh 1 (iv),Ngân hàng TMCP Công thương Việt Nam- Chi nhánh 1 (iv),23.000.000.000,-,23000000000.0,
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh (v),Vay dài hạn > Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh (v),Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh (v),700.000.000,-,700000000.0,
,,,1.378.558.572.092,317.625.000.000,1378558572092.0,317625000000.0
