row_label_raw,row_label_full,col_0,2022VND,2021VND,numeric__2022VND,numeric__2021VND
Phân bổ lợi thế thương mại (Thuyết minh 17),Phân bổ lợi thế thương mại (Thuyết minh 17),Phân bổ lợi thế thương mại (Thuyết minh 17),843.115.373.971,821.342.997.750,843115373971.0,821342997750.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,538.327.123.387,380.008.856.799,538327123387.0,380008856799.0
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,47.640.463.453,23.696.149.684,47640463453.0,23696149684.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,9.209.892.949,14.735.922.733,9209892949.0,14735922733.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,6.290.179.963,1.303.973.728,6290179963.0,1303973728.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,2.481.290.170,665.008.482,2481290170.0,665008482.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",2.992.499.817,662.914.830,2992499817.0,662914830.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,-,963.705.387,,963705387.0
Chi phí khác,Chi phí khác,Chi phí khác,86.153.571.965,82.241.899.314,86153571965.0,82241899314.0
,,,1.536.210.395.675,1.325.621.428.707,1536210395675.0,1325621428707.0
