row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Phương ĐôngSố 41 và 45 Lê Duân, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo)_6"
,,,VNDVND,USDVND,VàngVND,EURVND,Tiền tệ khácVND,TổngVND,,,,,,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",581.077.084.400,67.930.838.100,2.374.290.000,36.371.386.964,24.962.193.562,712.715.793.026,581077084400.0,67930838100.0,2374290000.0,36371386964.0,24962193562.0,712715793026.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.063.669.535.480,8.996.420.979,-,-,-,2.072.665.956.459,2063669535480.0,8996420979.0,,,,2072665956459.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,12.697.509.659.471,2.766.593.063.226,-,21.363.562.359,2.008.165.226.775,17.493.631.511.831,12697509659471.0,2766593063226.0,,21363562359.0,2008165226775.0,17493631511831.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,496.581.000.000,-,-,-,-,496.581.000.000,496581000000.0,,,,,496581000000.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,1.187.607.750.000,921.407.539.707,-,(49.574.800.000),(1.988.637.514.800),70.802.974.907,1187607750000.0,921407539707.0,,-49574800000.0,-1988637514800.0,70802974907.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,67.096.129.356.564,3.994.611.715.159,-,-,-,71.090.741.071.723,67096129356564.0,3994611715159.0,,,,71090741071723.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,22.934.127.428.730,-,-,-,-,22.934.127.428.730,22934127428730.0,,,,,22934127428730.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",24.540.000.000,-,-,-,-,24.540.000.000,24540000000.0,,,,,24540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,595.402.569.540,-,-,-,-,595.402.569.540,595402569540.0,,,,,595402569540.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,2.799.840.950.009,644.875.296.477,-,24.659.999.026,9.037.368.000,3.478.413.613.512,2799840950009.0,644875296477.0,,24659999026.0,9037368000.0,3478413613512.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),110.476.485.334.194,8.404.414.873.648,2.374.290.000,32.820.148.349,53.527.273.537,118.969.621.919.728,110476485334194.0,8404414873648.0,2374290000.0,32820148349.0,53527273537.0,118969621919728.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,170.256.322.260,-,-,-,-,170.256.322.260,170256322260.0,,,,,170256322260.0
