row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
,,,Trên 3 thángVND,Đến 3 thángVND,Đến 1 thángVND,Từ 1 đến 3 thángVND,Từ 3 đến 12 thángVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,Tổng côngVND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quỳ","Tài sản > Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",-,-,932.451.084.828,-,-,-,-,932.451.084.828,,,932451084828.0,,,,,932451084828.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.087.881.039.948,-,-,-,-,4.087.881.039.948,,,4087881039948.0,,,,,4087881039948.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,9.118.153.032.454,6.996.324.478.769,269.704.703.535,-,-,16.384.182.214.758,,,9118153032454.0,6996324478769.0,269704703535.0,,,16384182214758.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,-,254.755.500.000,674.654.000.000,929.409.500.000,,,,,,254755500000.0,674654000000.0,929409500000.0
Công cụ tài chính phải sinh,Tài sản > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,-,-,3.905.445.158,18.369.333.828,40.574.299.891,2.739.058.863,-,65.588.137.740,,,3905445158.0,18369333828.0,40574299891.0,2739058863.0,,65588137740.0
Cho vay khách hàng và mua nợ,Tài sản > Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,1.434.336.285.623,1.695.447.461.644,3.199.220.608.857,5.705.156.297.902,14.275.839.202.506,24.224.624.879.561,39.093.261.430.061,89.627.886.166.154,1434336285623.0,1695447461644.0,3199220608857.0,5705156297902.0,14275839202506.0,24224624879561.0,39093261430061.0,89627886166154.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,-,-,110.123.809.794,260.729.608.692,5.246.217.116.598,7.420.350.337.170,20.569.770.555.533,33.607.191.427.787,,,110123809794.0,260729608692.0,5246217116598.0,7420350337170.0,20569770555533.0,33607191427787.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,-,-,-,-,-,47.540.000.000,47.540.000.000,,,,,,,47540000000.0,47540000000.0
