row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Tài sản cố định khác VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2023,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,214.900.138.401,372.941.937.567,149.905.857.070,1.832.127.387,739.580.060.425,214900138401.0,372941937567.0,149905857070.0,1832127387.0,739580060425.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,7.943.616.997,19.565.086.496,3.248.149.000,237.561.500,30.994.413.993,7943616997.0,19565086496.0,3248149000.0,237561500.0,30994413993.0
Nâng cấp trong năm,Nguyên giá > Nâng cấp trong năm,Nâng cấp trong năm,62.239.120,366.085.522,-,-,428.324.642,62239120.0,366085522.0,,,428324642.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,10.134.254.642,7.028.128.175,2.112.541.000,-,19.274.923.817,10134254642.0,7028128175.0,2112541000.0,,19274923817.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.827.812.181),(1.774.634.547),(1.018.142.036),-,(6.620.588.764),-3827812181.0,-1774634547.0,-1018142036.0,,-6620588764.0
Số dư tại ngày 31 tháng 12 năm 2023,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,229.212.436.979,398.126.603.213,154.248.405.034,2.069.688.887,783.657.134.113,229212436979.0,398126603213.0,154248405034.0,2069688887.0,783657134113.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,94.623.273.975,254.466.086.776,110.173.866.691,1.442.085.721,460.705.313.163,94623273975.0,254466086776.0,110173866691.0,1442085721.0,460705313163.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.794.496.601,37.046.017.182,9.490.966.626,134.744.654,58.466.225.063,11794496601.0,37046017182.0,9490966626.0,134744654.0,58466225063.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.641.402.513),(1.764.195.582),(1.018.142.036),-,(5.423.740.131),-2641402513.0,-1764195582.0,-1018142036.0,,-5423740131.0
Tăng khác,Giá trị khấu hao lũy kế > Tăng khác,Tăng khác,-,368.462.722,-,-,368.462.722,,368462722.0,,,368462722.0
Số dư tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,103.776.368.063,290.116.371.098,118.646.691.281,1.576.830.375,514.116.260.817,103776368063.0,290116371098.0,118646691281.0,1576830375.0,514116260817.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,120.276.864.426,118.475.850.791,39.731.990.379,390.041.666,278.874.747.262,120276864426.0,118475850791.0,39731990379.0,390041666.0,278874747262.0
Số dư tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,125.436.068.916,108.010.232.115,35.601.713.753,492.858.512,269.540.873.296,125436068916.0,108010232115.0,35601713753.0,492858512.0,269540873296.0
Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,Các thông tin khác về tài sản cố định hữu hình:,,,,,
,,,,,Số cuối năm VND,Số đầu năm VND,,,,,,
Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Các thông tin khác về tài sản cố định hữu hình: > Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,283.839.501.642,265.635.760.419,,,,283839501642.0,265635760419.0,
