row_label_raw,row_label_full,col_0,31/12/2025VND,31/12/2024VND(restated),numeric__31/12/2025VND,numeric__31/12/2024VND(restated)
Constructions in progress (i),Constructions in progress (i),Constructions in progress (i),Constructions in progress (i),Constructions in progress (i),,
Office buildings,Office buildings,Office buildings,"2,022,107,741,760","1,784,609,000,099",,
Equipment and leasehold improvements,Equipment and leasehold improvements,Equipment and leasehold improvements,"4,558,292,474","57,531,870,043",,
Software,Software,Software,"1,151,123,013","13,814,346,225",,
Repairs and improvements,Repairs and improvements,Repairs and improvements,"7,100,709,367","22,357,130,376",,
,,,"2,034,917,866,614","1,878,312,346,743",,
Internal receivables,Internal receivables,Internal receivables,"84,364,086,169","222,785,862,455",,
External receivables,External receivables,External receivables,External receivables,External receivables,,
Receivables from settlement services,Receivables from settlement services,Receivables from settlement services,"203,168,816,470","254,597,174,827",,
Advances for court fees,Advances for court fees,Advances for court fees,"157,596,316,744","110,667,894,361",,
Deposits for house rentals and other operating activities,Deposits for house rentals and other operating activities,Deposits for house rentals and other operating activities,"65,427,572,282","63,168,780,509",,
Receivables from sale of debts,Receivables from sale of debts,Receivables from sale of debts,"64,755,886,106",-,,
Receivables from investment cooperation contracts (*),Receivables from investment cooperation contracts (*),Receivables from investment cooperation contracts (*),"20,933,045,052","53,600,286,469",,
Tax receivable (Note 23),Tax receivable (Note 23),Tax receivable (Note 23),"14,132,130,355","42,227,642,765",,
Receivables from usance payable at sight letters of credit,Receivables from usance payable at sight letters of credit,Receivables from usance payable at sight letters of credit,-,"131,809,445,394",,
Other receivables,Other receivables,Other receivables,"78,018,834,676","109,869,048,085",,
,,,"604,032,601,685","765,940,272,410",,
,,,"2,723,314,554,468","2,867,038,481,608",,
