row_label_raw,row_label_full,col_0,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
,,,VND,VND,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,
- Công ty TNHH VNT\( ^{(1)} \),a) Ngắn hạn > - Công ty TNHH VNT\( ^{(1)} \),- Công ty TNHH VNT\( ^{(1)} \),220.000.000.000,220.000.000.000,220000000000.0,220000000000.0
- Khách hàng mua căn hộ trả tiền trước\( ^{(2)} \),a) Ngắn hạn > - Khách hàng mua căn hộ trả tiền trước\( ^{(2)} \),- Khách hàng mua căn hộ trả tiền trước\( ^{(2)} \),19.361.312.588,19.473.114.299,19361312588.0,19473114299.0
- Công ty Cổ phần Du lịch Đầu khí Phương Đông\( ^{(3)} \),a) Ngắn hạn > - Công ty Cổ phần Du lịch Đầu khí Phương Đông\( ^{(3)} \),- Công ty Cổ phần Du lịch Đầu khí Phương Đông\( ^{(3)} \),13.705.514.600,13.705.514.600,13705514600.0,13705514600.0
- Ngân hàng Thương Mại TNHH MTV Đại Dương\( ^{(4)} \),a) Ngắn hạn > - Ngân hàng Thương Mại TNHH MTV Đại Dương\( ^{(4)} \),- Ngân hàng Thương Mại TNHH MTV Đại Dương\( ^{(4)} \),6.630.600.000,6.630.600.000,6630600000.0,6630600000.0
- Công ty Cổ phần Đầu tư Xây dựng Bất động sản Trí Nguyễn,a) Ngắn hạn > - Công ty Cổ phần Đầu tư Xây dựng Bất động sản Trí Nguyễn,- Công ty Cổ phần Đầu tư Xây dựng Bất động sản Trí Nguyễn,5.000.000.000,4.000.000.000,5000000000.0,4000000000.0
- Các khoản người mua trả tiền trước khác,a) Ngắn hạn > - Các khoản người mua trả tiền trước khác,- Các khoản người mua trả tiền trước khác,21.690.902.079,23.885.035.273,21690902079.0,23885035273.0
,,,286.388.329.267,287.694.264.172,286388329267.0,287694264172.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,,
- Trả trước tiền mua căn hộ dự án Starcity Westlake Hà Nội,b) Dải hạn > - Trả trước tiền mua căn hộ dự án Starcity Westlake Hà Nội,- Trả trước tiền mua căn hộ dự án Starcity Westlake Hà Nội,-,101.672.849.093,,101672849093.0
,,,-,101.672.849.093,,101672849093.0
c) Người mua trả tiền trước là các bên liên quan,b) Dải hạn > c) Người mua trả tiền trước là các bên liên quan,c) Người mua trả tiền trước là các bên liên quan,220.000.000.000,220.000.000.000,220000000000.0,220000000000.0
