row_label_raw,row_label_full,col_0,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
,,,VND,VND,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,
- Doanh thu nhận trước từ hoạt động cho thuê mặt bằng,a) Ngắn hạn > - Doanh thu nhận trước từ hoạt động cho thuê mặt bằng,- Doanh thu nhận trước từ hoạt động cho thuê mặt bằng,7.765.733.232,7.765.733.232,7765733232.0,7765733232.0
,,,7.765.733.232,7.765.733.232,7765733232.0,7765733232.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,,
- Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincomerce (1),b) Dải hạn > - Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincomerce (1),- Công ty Cổ phần Dịch vụ Thương mại Tổng hợp Vincomerce (1),216.048.812.767,221.572.727.827,216048812767.0,221572727827.0
- Công ty Cổ phần Đầu tư Phát triển Phú Nguyên (2),b) Dải hạn > - Công ty Cổ phần Đầu tư Phát triển Phú Nguyên (2),- Công ty Cổ phần Đầu tư Phát triển Phú Nguyên (2),74.540.454.612,76.782.272.784,74540454612.0,76782272784.0
- Công ty TNHH Đầu tư và Dịch vụ An Thịnh (3),b) Dải hạn > - Công ty TNHH Đầu tư và Dịch vụ An Thịnh (3),- Công ty TNHH Đầu tư và Dịch vụ An Thịnh (3),4.830.827.071,4.943.609.023,4830827071.0,4943609023.0
- Các khoản doanh thu cho thuê mặt bằng chưa thực hiện khác,b) Dải hạn > - Các khoản doanh thu cho thuê mặt bằng chưa thực hiện khác,- Các khoản doanh thu cho thuê mặt bằng chưa thực hiện khác,659.739.564,-,659739564.0,
,,,296.079.834.014,303.298.609.634,296079834014.0,303298609634.0
