row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2025VND,Năm 2024VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2025VND,numeric__Năm 2024VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,13.348.389.434,24.731.591.674,,1.0,61.0,13348389434.0,24731591674.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,13.348.389.434,24.731.591.674,,10.0,,13348389434.0,24731591674.0
4.,4.,4.,Giá vốn hàng bán,11,6.2,26.048.561.708,16.745.182.296,,11.0,62.0,26048561708.0,16745182296.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,(12.700.172.274),7.986.409.378,,20.0,,-12700172274.0,7986409378.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.3,29.842.352.025,609.474.469,,21.0,63.0,29842352025.0,609474469.0
7.,7.,7.,Chi phí tài chính,22,6.4,(41.791.003.938),(8.292.457.412),,22.0,64.0,-41791003938.0,-8292457412.0
,,,Trong đó: Chi phí lãi vay,23,,1.763.186.376,2.206.658.039,,23.0,,1763186376.0,2206658039.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,6.5,7.562.944.469,(37.575.486.063),,26.0,65.0,7562944469.0,-37575486063.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20+(21-22)-(25+26)},30,,51.370.239.220,54.463.827.322,,30.0,,51370239220.0,54463827322.0
11.,11.,11.,Thu nhập khác,31,6.6,95.007,20.701.265.544,,31.0,66.0,95007.0,20701265544.0
12.,12.,12.,Chi phí khác,32,6.6,11.697.937,90.407.497,,32.0,66.0,11697937.0,90407497.0
13.,13.,13.,Lợi nhuận khác (40 = 31-32),40,6.6,(11.602.930),20.610.858.047,,40.0,66.0,-11602930.0,20610858047.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,51.358.636.290,75.074.685.369,,50.0,,51358636290.0,75074685369.0
15.,15.,15.,Chi phí thuế TNDN hiện hành,51,,-,-,,51.0,,,
16.,16.,16.,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,51.358.636.290,75.074.685.369,,60.0,,51358636290.0,75074685369.0
