row_label_raw,row_label_full,col_0,Năm 2019,Năm 2018,numeric__Năm 2019,numeric__Năm 2018
,,,VND,VND,,
Doanh thu hoạt động xây lắp và thiết bị ngành diện,Doanh thu hoạt động xây lắp và thiết bị ngành diện,Doanh thu hoạt động xây lắp và thiết bị ngành diện,3.000.245.215.906,1.730.664.054.934,3000245215906.0,1730664054934.0
Doanh thu hoạt động sản xuất công nghiệp,Doanh thu hoạt động sản xuất công nghiệp,Doanh thu hoạt động sản xuất công nghiệp,981.324.521.368,498.868.808.529,981324521368.0,498868808529.0
Doanh thu kinh doanh bất động sản đầu tư,Doanh thu kinh doanh bất động sản đầu tư,Doanh thu kinh doanh bất động sản đầu tư,18.808.572.113,14.124.213.215,18808572113.0,14124213215.0
Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,194.076.266.810,954.485.096.946,194076266810.0,954485096946.0
Doanh thu mua bán điện,Doanh thu mua bán điện,Doanh thu mua bán điện,552.029.783.176,559.423.054.774,552029783176.0,559423054774.0
"Doanh thu bán hàng hóa, vật tư","Doanh thu bán hàng hóa, vật tư","Doanh thu bán hàng hóa, vật tư",997.694.209.760,1.254.390.183.750,997694209760.0,1254390183750.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,100.844.263.781,72.466.424.757,100844263781.0,72466424757.0
,,,5.845.022.832.914,5.084.421.836.905,5845022832914.0,5084421836905.0
Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 41),Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 41),Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 41),9.343.175.600,65.466.955.200,9343175600.0,65466955200.0
