row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhữu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhữu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.347.681.558.993,1.203.902.822.459,159.710.404.795,9.371.826.168,953.675.210,2.721.620.287.625,1347681558993.0,1203902822459.0,159710404795.0,9371826168.0,953675210.0,2721620287625.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,65.000.000,5.070.000.000,-,2.513.239.917,57.200.000,7.705.439.917,65000000.0,5070000000.0,,2513239917.0,57200000.0,7705439917.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,80.200.000,31.527.850.538,9.716.670.909,-,-,41.324.721.447,80200000.0,31527850538.0,9716670909.0,,,41324721447.0
Điều chỉnh nguyên giátheo quyết toán dự án,Nguyên giá > Điều chỉnh nguyên giátheo quyết toán dự án,Điều chỉnh nguyên giátheo quyết toán dự án,(15.498.487.639),(4.657.320.278),(399.871.710),-,-,(20.555.679.627),-15498487639.0,-4657320278.0,-399871710.0,,,-20555679627.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(6.010.777.885),(114.840.909),-,(6.125.618.794),,,-6010777885.0,-114840909.0,,-6125618794.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.332.328.271.354,1.235.843.352.719,163.016.426.109,11.770.225.176,1.010.875.210,2.743.969.150.568,1332328271354.0,1235843352719.0,163016426109.0,11770225176.0,1010875210.0,2743969150568.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,183.818.381.711,211.188.719.265,65.028.303.294,7.174.868.671,844.605.034,468.054.877.975,183818381711.0,211188719265.0,65028303294.0,7174868671.0,844605034.0,468054877975.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,48.273.795.025,65.102.537.505,15.048.145.019,938.144.375,107.080.841,129.469.702.765,48273795025.0,65102537505.0,15048145019.0,938144375.0,107080841.0,129469702765.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(5.770.431.111),(114.840.909),-,(5.885.272.020),,,-5770431111.0,-114840909.0,,-5885272020.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,232.092.176.736,276.291.256.770,74.306.017.202,7.998.172.137,951.685.875,591.639.308.720,232092176736.0,276291256770.0,74306017202.0,7998172137.0,951685875.0,591639308720.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.163.863.177.282,992.714.103.194,94.682.101.501,2.196.957.497,109.070.176,2.253.565.409.650,1163863177282.0,992714103194.0,94682101501.0,2196957497.0,109070176.0,2253565409650.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.100.236.094.618,959.552.095.949,88.710.408.907,3.772.053.039,59.189.335,2.152.329.841.848,1100236094618.0,959552095949.0,88710408907.0,3772053039.0,59189335.0,2152329841848.0
