row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,13.263.743.647.409,12.901.664.649.904,,200.0,,13263743647409.0,12901664649904.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,16.922.827.065,32.830.193.500,,210.0,,16922827065.0,32830193500.0
1.,1.,1.,Phải thu dài hạn khác,216,12,16.922.827.065,32.830.193.500,,216.0,12.0,16922827065.0,32830193500.0
II.,II.,II.,Tài sản cố định,220,,9.489.296.627.445,10.146.675.462.841,,220.0,,9489296627445.0,10146675462841.0
1.,1.,1.,Tài sản cố định hữu hình,221,17,8.366.329.251.858,8.970.795.915.918,,221.0,17.0,8366329251858.0,8970795915918.0
,,,- Nguyên giá,222,,12.760.050.714.276,12.617.358.387.910,,222.0,,12760050714276.0,12617358387910.0
,,,- Giá trị hao mòn lũy kế,223,,(4.393.721.462.418),(3.646.562.471.992),,223.0,,-4393721462418.0,-3646562471992.0
2.,2.,2.,Tài sản cố định vô hình,227,18,1.122.967.375.587,1.175.879.546.923,,227.0,18.0,1122967375587.0,1175879546923.0
,,,- Nguyên giá,228,,1.393.705.127.852,1.383.299.121.252,,228.0,,1393705127852.0,1383299121252.0
,,,- Giá trị hao mòn lũy kế,229,,(270.737.752.265),(207.419.574.329),,229.0,,-270737752265.0,-207419574329.0
III.,III.,III.,Bất động sản đầu tư,230,19,93.837.530.376,112.102.582.263,,230.0,19.0,93837530376.0,112102582263.0
,,,- Nguyên giá,231,,536.802.861.074,536.746.846.681,,231.0,,536802861074.0,536746846681.0
,,,- Giá trị hao mòn lũy kế,232,,(442.965.330.698),(424.644.264.418),,232.0,,-442965330698.0,-424644264418.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,1.352.295.777.373,372.571.762.744,,240.0,,1352295777373.0,372571762744.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,20,202.549.187.157,202.549.187.157,,241.0,20.0,202549187157.0,202549187157.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,21,1.149.746.590.216,170.022.575.587,,242.0,21.0,1149746590216.0,170022575587.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,1.781.595.101.433,1.709.056.198.340,,250.0,,1781595101433.0,1709056198340.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,22,1.780.773.331.433,1.708.234.428.340,,252.0,22.0,1780773331433.0,1708234428340.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,23,4.821.770.000,4.821.770.000,,253.0,23.0,4821770000.0,4821770000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,23,(4.000.000.000),(4.000.000.000),,254.0,23.0,-4000000000.0,-4000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,529.795.783.717,528.428.450.216,,260.0,,529795783717.0,528428450216.0
1.,1.,1.,Chi phí trả trước dài hạn,261,15,331.463.086.266,290.930.501.865,,261.0,15.0,331463086266.0,290930501865.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,24,35.149.950.316,30.280.921.273,,262.0,24.0,35149950316.0,30280921273.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,25.933.570.317,25.969.362.920,,263.0,,25933570317.0,25969362920.0
4.,4.,4.,Lợi thế thương mại,269,25,137.249.176.818,181.247.664.158,,269.0,25.0,137249176818.0,181247664158.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,24.562.870.833.213,20.987.644.741.128,,270.0,,24562870833213.0,20987644741128.0
