row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRÀ,,10.857.623.546.771,9.062.167.168.739,,,10857623546771.0,9062167168739.0
310,310,310,I. Nợ ngắn hạn,,4.824.945.071.517,2.542.466.021.385,,,4824945071517.0,2542466021385.0
311,311,311,1. Phải trả người bán ngắn hạn,16,267.646.582.409,259.536.407.271,,16.0,267646582409.0,259536407271.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,619.897.646.228,651.149.337.644,,17.0,619897646228.0,651149337644.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,488.905.930.519,178.395.781.258,,18.0,488905930519.0,178395781258.0
314,314,314,4. Phải trả người lao động,,12.736.610.761,4.324.040.000,,,12736610761.0,4324040000.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,19,78.205.851.801,145.704.680.565,,19.0,78205851801.0,145704680565.0
319,319,319,6. Phải trả ngắn hạn khác,20,1.941.317.117.270,95.164.794.124,,20.0,1941317117270.0,95164794124.0
320,320,320,7. Vay ngắn hạn,21,1.413.560.061.129,1.201.598.912.000,,21.0,1413560061129.0,1201598912000.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",22,2.675.271.400,6.592.068.523,,22.0,2675271400.0,6592068523.0
330,330,330,II. Nợ dài hạn,,6.032.678.475.254,6.519.701.147.354,,,6032678475254.0,6519701147354.0
337,337,337,1. Phải trả dài hạn khác,20,5.547.433.656.616,5.549.400.552.616,,20.0,5547433656616.0,5549400552616.0
338,338,338,2. Vay dài hạn,21,485.244.818.638,970.300.594.738,,21.0,485244818638.0,970300594738.0
400,400,400,D. VỐN CHỦ SỞ HỮU,23.1,5.104.326.909.177,4.296.733.832.967,,231.0,5104326909177.0,4296733832967.0
410,410,410,I. Vốn chủ sở hữu,,5.104.326.909.177,4.296.733.832.967,,,5104326909177.0,4296733832967.0
411,411,411,1. Vốn cổ phần,,3.961.698.970.000,3.276.579.720.000,,,3961698970000.0,3276579720000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.961.698.970.000,3.276.579.720.000,,,3961698970000.0,3276579720000.0
412,412,412,2. Thặng dư vốn cổ phần,,11.680.300.000,11.680.300.000,,,11680300000.0,11680300000.0
418,418,418,3. Quỹ đầu tư phát triển,,155.013.584.076,137.513.584.076,,,155013584076.0,137513584076.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,975.934.055.101,870.960.228.891,,,975934055101.0,870960228891.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,,17.680.598.710,8.765.195.277,,,17680598710.0,8765195277.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,958.253.456.391,862.195.033.614,,,958253456391.0,862195033614.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,15.961.950.455.948,13.358.901.001.706,,,15961950455948.0,13358901001706.0
