row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
10,10,10,1. Doanh thu thuần về bán hàng và cung cấp dịch vụ,25,1.519.363.948.614,3.789.750.383.150,,25.0,1519363948614.0,3789750383150.0
11,11,11,2. Giá vốn hàng bán và dịch vụ cung cấp,26,(242.092.204.885),(1.023.229.416.126),,26.0,-242092204885.0,-1023229416126.0
20,20,20,3. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.277.271.743.729,2.766.520.967.024,,,1277271743729.0,2766520967024.0
21,21,21,4. Doanh thu hoạt động tài chính,27,1.366.320.543.734,6.228.075.363,,27.0,1366320543734.0,6228075363.0
22,22,22,5. Chi phí tài chính,28,(870.895.783.699),(155.190.842.100),,28.0,-870895783699.0,-155190842100.0
23,23,23,- Trong đó: Chi phí lãi vay,,(616.934.415.450),(148.845.992.473),,,-616934415450.0,-148845992473.0
25,25,25,6. Chi phí bán hàng,29,(16.587.960.783),(18.007.966.070),,29.0,-16587960783.0,-18007966070.0
26,26,26,7. Chi phí quản lý doanh nghiệp,29,(254.300.551.236),(208.433.720.489),,29.0,-254300551236.0,-208433720489.0
30,30,30,8. Lợi nhuận thuần từ hoạt động kinh doanh,,1.501.807.991.745,2.391.116.513.728,,,1501807991745.0,2391116513728.0
31,31,31,9. Thu nhập khác,,116.579.267,458.114.518,,,116579267.0,458114518.0
32,32,32,10. Chi phí khác,,(1.034.723.848),(26.195.685.179),,,-1034723848.0,-26195685179.0
40,40,40,11. Lỗ khác,,(918.144.581),(25.737.570.661),,,-918144581.0,-25737570661.0
50,50,50,12. Tổng lợi nhuận kế toán trước thuế,,1.500.889.847.164,2.365.378.943.067,,,1500889847164.0,2365378943067.0
51,51,51,13. Chi phí thuế TNDN hiện hành,31.1,(306.563.962.999),(484.357.894.838),,311.0,-306563962999.0,-484357894838.0
52,52,52,14. Thu nhập thuế TNDN hoãn lại,31.3,4.987.070.555,-,,313.0,4987070555.0,
60,60,60,15. Lợi nhuận sau thuế TNDN,,1.199.312.954.720,1.881.021.048.229,,,1199312954720.0,1881021048229.0
