row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
KCN Phát Đạt,KCN Phát Đạt,KCN Phát Đạt,Công ty con,Lãi tiền vay,101.014.978.082,-,,,101014978082.0,
KCN Phát Đạt,KCN Phát Đạt,KCN Phát Đạt,Công ty con,Hoàn tiền mượn,12.290.000.000,11.620.000.000,,,12290000000.0,11620000000.0
KCN Phát Đạt,KCN Phát Đạt,KCN Phát Đạt,Công ty con,Cung cấp dịch vụ,23.450.000,-,,,23450000.0,
KCN Phát Đạt,KCN Phát Đạt,KCN Phát Đạt,Công ty con,Góp vốn,-,1.577.600.000.000,,,,1577600000000.0
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Hoàn tiền mượn,20.996.000.000,1.718.000.000,,,20996000000.0,1718000000.0
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Mượn tiền,15.000.000.000,85.600.000.000,,,15000000000.0,85600000000.0
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Lãi tiền vay,3.962.533.699,-,,,3962533699.0,
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Cung cấp dịch vụ,43.014.000,-,,,43014000.0,
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Góp vốn,-,85.680.000.000,,,,85680000000.0
Coinin,Coinin,Coinin,Công ty con,Tạm ứng phát triển dự án,16.946.127.600,39.975.000.000,,,16946127600.0,39975000000.0
Coinin,Coinin,Coinin,Công ty con,Cung cấp dịch vụ,232.589.100,-,,,232589100.0,
Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Chủ tịch,Mượn tiền,14.000.000.000,910.989.683.997,,,14000000000.0,910989683997.0
Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Chủ tịch,Hoàn tiền mượn,14.000.000.000,911.097.834.226,,,14000000000.0,911097834226.0
Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Chủ tịch,Tạm ứng,-,621.280.121.149,,,,621280121149.0
Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Ông Nguyễn Văn Đạt,Chủ tịch,Thu tạm ứng,-,621.280.121.149,,,,621280121149.0
Công trình PDP,Công trình PDP,Công trình PDP,Công ty liên kết,Góp vốn,3.526.107.000,3.464.000.000,,,3526107000.0,3464000000.0
ĐK Phú Quốc,ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tiền lãi đầu tư,1.860.572.975,2.034.891.672,,,1860572975.0,2034891672.0
ĐK Phú Quốc,ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng phát triển dự án,371.000.000,834.000.000,,,371000000.0,834000000.0
ĐK Phú Quốc,ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Cung cấp dịch vụ,-,50.400.906,,,,50400906.0
Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Công ty Cổ phần Tư vấn Quản lý BDSC,Bên liên quan của Thành viên HĐQT,Mua dịch vụ,1.371.000.000,1.650.000.000,,,1371000000.0,1650000000.0
Cao Óc Thiên Long,Cao Óc Thiên Long,Cao Óc Thiên Long,Công ty con gián tiếp,Cung cấp dịch vụ,1.100.984.665,-,,,1100984665.0,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Tổng Giám đốc,Hoàn trả đặt cọc,800.000.000,-,,,800000000.0,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Tổng Giám đốc,Thu tiền mua cổ phiếu,-,35.672.000.000,,,,35672000000.0
