row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025 VND,01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__01/01/2025 VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,15.126.321.263.780,12.528.504.381.707,100.0,,15126321263780.0,12528504381707.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,375.784.630.537,343.468.770.451,110.0,4.0,375784630537.0,343468770451.0
Tiền,Tiền,Tiền,111,,375.784.530.537,343.468.770.451,111.0,,375784530537.0,343468770451.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,100.000,-,112.0,,100000.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,-,115.370.299.200,120.0,,,115370299200.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,-,115.370.299.200,123.0,,,115370299200.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,5.239.904.593.678,5.499.680.378.540,130.0,,5239904593678.0,5499680378540.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,1.931.552.833.055,2.815.946.230.379,131.0,6.0,1931552833055.0,2815946230379.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,2.483.205.493.736,1.681.329.453.495,132.0,7.0,2483205493736.0,1681329453495.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,851.187.811.262,1.020.946.239.041,136.0,8.0,851187811262.0,1020946239041.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,"6, 8",(26.041.544.375),(18.541.544.375),137.0,,-26041544375.0,-18541544375.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,9,9.501.767.211.565,6.562.627.838.976,140.0,9.0,9501767211565.0,6562627838976.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,9.501.767.211.565,6.562.627.838.976,141.0,,9501767211565.0,6562627838976.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,8.864.828.000,7.357.094.540,150.0,,8864828000.0,7357094540.0
Chỉ phí trả trước ngắn hạn,Chỉ phí trả trước ngắn hạn,Chỉ phí trả trước ngắn hạn,151,11,8.864.828.000,3.351.554.104,151.0,11.0,8864828000.0,3351554104.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,-,4.005.540.436,152.0,,,4005540436.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,12.010.449.029.180,12.839.781.938.139,200.0,,12010449029180.0,12839781938139.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.957.385.908.434,1.001.546.360.749,210.0,,1957385908434.0,1001546360749.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,10,184.739.357.768,681.924.490.356,215.0,10.0,184739357768.0,681924490356.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,8,1.772.646.550.666,319.621.870.393,216.0,8.0,1772646550666.0,319621870393.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,723.863.805.492,733.531.013.100,220.0,,723863805492.0,733531013100.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,323.363.805.492,332.871.107.306,221.0,12.0,323363805492.0,332871107306.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,373.482.332.349,374.106.634.614,222.0,,373482332349.0,374106634614.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(50.118.526.857),(41.235.527.308),223.0,,-50118526857.0,-41235527308.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,400.500.000.000,400.659.905.794,227.0,13.0,400500000000.0,400659905794.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,415.320.270.381,415.320.270.381,228.0,,415320270381.0,415320270381.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(14.820.270.381),(14.660.364.587),229.0,,-14820270381.0,-14660364587.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,14,61.711.188.992,63.247.308.032,230.0,14.0,61711188992.0,63247308032.0
